competent_seed_n,depth,difficulty_regime,final_test_accuracy_ci95_high,final_test_accuracy_ci95_low,final_test_accuracy_mean,final_test_loss_ci95_high,final_test_loss_ci95_low,final_test_loss_mean,final_val_accuracy_ci95_high,final_val_accuracy_ci95_low,final_val_accuracy_mean,final_val_loss_ci95_high,final_val_loss_ci95_low,final_val_loss_mean,learning_curve_auc_ci95_high,learning_curve_auc_ci95_low,learning_curve_auc_mean,reliably_competent,seed_n,sweep,training_seconds_ci95_high,training_seconds_ci95_low,training_seconds_mean,variant
1,4,mixed,0.8680000305175781,0.5920000076293945,0.7279999852180481,1.721120834350586,0.5540889501571655,1.0911599397659302,0.8833333253860474,0.6033333539962769,0.7419999837875366,1.5480352640151978,0.37809035181999207,0.9606336355209351,0.6229284405708313,0.4556190073490143,0.5335090160369873,False,5,depth,26.9632568359375,25.6859130859375,26.33526611328125,baseline
1,4,mixed,0.8640000224113464,0.5819999575614929,0.7360000014305115,1.6421844959259033,0.5405639410018921,1.0913742780685425,0.8939999341964722,0.6219999194145203,0.7680000066757202,1.4986000061035156,0.3286953866481781,0.8777393102645874,0.6255475282669067,0.4602716565132141,0.5388550758361816,False,5,depth,28.947412490844727,27.50705909729004,28.17476463317871,gated
1,4,mixed,0.8460000157356262,0.5920000076293945,0.718666672706604,1.619781255722046,0.5923869013786316,1.106666088104248,0.9021835923194885,0.6139999628067017,0.7559999823570251,1.4526454210281372,0.3937589228153229,0.9232021570205688,0.6284360885620117,0.4605630040168762,0.5404833555221558,False,5,depth,30.885223388671875,30.17136573791504,30.487457275390625,sa_ff_gated
1,4,mixed,0.8606666326522827,0.59333336353302,0.7253333330154419,1.7516196966171265,0.5202663540840149,1.1123548746109009,0.8980000615119934,0.6193333864212036,0.7586666941642761,1.5115635395050049,0.36314624547958374,0.9373549222946167,0.6268143057823181,0.4532981812953949,0.539176344871521,False,5,depth,28.592998504638672,26.894817352294922,27.594425201416016,static_scale
2,8,mixed,0.891333281993866,0.7886666655540466,0.8479999303817749,0.8772639036178589,0.382183700799942,0.5944579839706421,0.934666633605957,0.8193332552909851,0.8840000033378601,0.6918269395828247,0.21057525277137756,0.4110267758369446,0.629688560962677,0.5735989809036255,0.6065104603767395,False,5,depth,46.56616973876953,45.207176208496094,45.88667297363281,baseline
3,8,mixed,0.874666690826416,0.7433333396911621,0.8153332471847534,0.9873725771903992,0.42491063475608826,0.6964101791381836,0.9399999380111694,0.8280000686645508,0.8926666378974915,0.6919832229614258,0.23219487071037292,0.41935548186302185,0.6301651000976562,0.5762424468994141,0.607646644115448,False,5,depth,48.87641906738281,47.39685821533203,48.02183532714844,gated
3,8,mixed,0.8726666569709778,0.7760000228881836,0.8300000429153442,0.8908056020736694,0.40831565856933594,0.622138500213623,0.9306666254997253,0.8426666259765625,0.890666663646698,0.5515797734260559,0.24169912934303284,0.3781524896621704,0.6346334218978882,0.5824977159500122,0.6117017269134521,False,5,depth,52.68272018432617,52.20124053955078,52.40790939331055,sa_ff_gated
4,8,mixed,0.8979999423027039,0.7600000500679016,0.840666651725769,0.8835671544075012,0.4045882225036621,0.6044409871101379,0.9447000622749329,0.8531166315078735,0.9006667137145996,0.5665969252586365,0.17714905738830566,0.34559527039527893,0.6350901126861572,0.5792632102966309,0.609300434589386,True,5,depth,49.10747528076172,46.54341506958008,47.8758659362793,static_scale
2,12,mixed,0.9120000004768372,0.7440000176429749,0.8279999494552612,1.0926369428634644,0.3071204721927643,0.6998787522315979,0.9494001269340515,0.7953333258628845,0.8726666569709778,0.8398922681808472,0.19840729236602783,0.5053062438964844,0.6668546795845032,0.5684038996696472,0.6160220503807068,False,5,depth,70.49192810058594,68.62199401855469,69.53075408935547,baseline
2,12,mixed,0.9253333806991577,0.7713333368301392,0.846666693687439,0.9452158212661743,0.29513925313949585,0.6204758882522583,0.9559999704360962,0.8026666641235352,0.8793333172798157,0.7065467238426208,0.1666141152381897,0.43620333075523376,0.6659702658653259,0.5728238821029663,0.6190427541732788,False,5,depth,68.86576843261719,68.69924926757812,68.78329467773438,gated
