checkpoint,cycle,depth,device,difficulty_regime,experiment,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,parameters,reused_from,revision,run_id,seed,sweep,tokens_seen,training_seconds,training_steps,variant,width
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-11/model.pt,C,16,cuda,high,C1,0.99,0.0351419295867284,1.0,0.0084792078534762,549322,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-baseline-seed-11,11,difficulty,924168,102.6592423999682,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-22/model.pt,C,16,cuda,high,C1,0.9933333333333332,0.0232466783126195,0.9966666666666668,0.0152735675374666,549322,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-baseline-seed-22,22,difficulty,924168,92.98014830006288,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-33/model.pt,C,16,cuda,high,C1,0.9966666666666668,0.0225412746270497,0.9933333333333332,0.021149364610513,549322,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-baseline-seed-33,33,difficulty,924168,91.20084799989128,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-44/model.pt,C,16,cuda,high,C1,0.99,0.029251051445802,0.9966666666666668,0.0137657729784647,549322,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-baseline-seed-44,44,difficulty,924168,95.60724150016904,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-55/model.pt,C,16,cuda,high,C1,0.99,0.0308440422018369,1.0,0.005218330224355,549322,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-baseline-seed-55,55,difficulty,924168,93.24976209993474,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-11/model.pt,C,16,cuda,high,C1,0.9933333333333332,0.0302729745705922,1.0,0.0087099195520083,549338,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-static_scale-seed-11,11,difficulty,924168,98.60060989996418,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-22/model.pt,C,16,cuda,high,C1,0.99,0.0281899384657541,0.9966666666666668,0.0132433759669462,549338,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-static_scale-seed-22,22,difficulty,924168,96.18585720006377,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-33/model.pt,C,16,cuda,high,C1,0.9933333333333332,0.0269288762410481,0.9933333333333332,0.0180738669633865,549338,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-static_scale-seed-33,33,difficulty,924168,96.8304457999766,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-44/model.pt,C,16,cuda,high,C1,0.9866666666666668,0.0383249254028002,0.99,0.0305887870987256,549338,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-static_scale-seed-44,44,difficulty,924168,92.68455319991337,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-55/model.pt,C,16,cuda,high,C1,0.99,0.03201773583889,1.0,0.0052970898151397,549338,artifacts/cycle_c/c1_learning_curves,1,difficulty-high-depth16-static_scale-seed-55,55,difficulty,924168,89.55324669997208,456,static_scale,64
