final_applied_scale_mean,final_candidate_update_norm,final_effective_update_norm,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,learning_curve_auc,mean_gradient_norm,mean_parameter_update_norm,seconds_to_80,seconds_to_90,seconds_to_95,seconds_to_99,seed,steps_to_80,steps_to_90,steps_to_95,steps_to_99,tokens_to_80,tokens_to_90,tokens_to_95,tokens_to_99,variant
1.0,3.855034351348877,3.855034351348877,0.99,0.0351419295867284,1.0,0.008479207853476207,0.7710661174880181,0.7571121367639166,0.12178350051669891,48.698591100052,52.92481280001812,54.86259469995275,60.60486650001258,11,190,210,220,250,385070,425584,446139,506753,baseline
1.0,3.5856997966766357,3.5856997966766357,0.9933333333333332,0.0232466783126195,0.9966666666666667,0.015273567537466686,0.7605345258293584,0.7343861752837052,0.1180884202271316,41.526932100066915,43.49100590008311,45.50810560001992,53.25155039993115,22,200,210,220,260,405847,425631,446332,527093,baseline
1.0,3.9780545234680176,3.9780545234680176,0.9966666666666668,0.0225412746270497,0.9933333333333333,0.02114936461051305,0.785892999613346,0.6261352334422093,0.10274672227518358,34.95313819986768,36.84299459983595,36.84299459983595,44.771693599876016,33,170,180,180,220,344958,365123,365123,446036,baseline
1.0,3.8095169067382812,3.8095169067382812,0.99,0.029251051445802,0.9966666666666667,0.013765772978464763,0.7866996494865292,0.6631766827357908,0.10605894822859714,36.49448260013014,38.47455950011499,40.374610300175846,47.135761300101876,44,170,180,190,220,345026,365113,385070,446090,baseline
1.0,4.320730686187744,4.320730686187744,0.99,0.0308440422018369,1.0,0.005218330224355062,0.8055675609485144,0.544822131937288,0.10076334855139821,28.58889380004257,30.611867800122127,30.611867800122127,36.61793670011684,55,140,150,150,180,283837,304342,304342,365061,baseline
0.7865081429481506,4.184620380401611,3.3548858165740967,0.9933333333333332,0.0312566205859184,0.9966666666666667,0.010353677570819855,0.7684200455617015,0.7571561954835326,0.12478375914330075,39.21045250003226,45.2271986999549,47.19829749991186,64.1530810999684,11,190,220,230,310,385070,446139,466271,628496,gated
0.8122743964195251,3.886281728744507,3.169895648956299,0.9833333333333332,0.0825388097763061,0.98,0.04598901708920797,0.7523456251100088,0.7190319800279683,0.12015944689107252,44.99597220006399,44.99597220006399,49.14962420007214,,22,210,210,230,,425631,425631,466197,,gated
0.810469925403595,4.1305341720581055,3.4020371437072754,0.9933333333333332,0.0317482011516888,1.0,0.008480157554149628,0.8003845873621824,0.5697105486587268,0.09722254304052876,33.930395900039,35.96451970003545,38.037048700032756,42.37996120005846,33,160,170,180,200,324442,344958,365123,405688,gated
0.8158999085426331,3.911649703979492,3.220867395401001,0.99,0.0270111697912216,0.99,0.026463137169679005,0.7803051970348825,0.6529152641588454,0.10397693179077537,38.045647100079805,42.70147310011089,42.70147310011089,55.36543669993989,44,170,190,190,250,345026,385070,385070,506732,gated
0.7987607717514038,4.656302452087402,3.782963275909424,0.9933333333333332,0.026162122040987,0.9966666666666667,0.01158442219098409,0.7963765516659311,0.5346076429012399,0.09889825018909498,34.459529699990526,36.59974430012517,39.02832470019348,41.69154750020243,55,150,160,170,180,304342,324626,345017,365061,gated
