accuracy,block_update_norm,condition,depth,effective_block_count,effective_block_fraction,effective_ff_count,effective_ff_fraction,effective_sa_count,effective_sa_fraction,ff_update_norm,fraction_near_zero_block,fraction_near_zero_ff,fraction_near_zero_sa,fraction_negative_block,fraction_negative_ff,fraction_negative_sa,matched_parameter_control,mean_target_logprob,repair_event_rate,residual_norm_acf_lag1,sa_update_norm,seed,task_family,update_norm_acf_lag1,utility_block,utility_ff,utility_sa,width
0.9888888888888889,4.52118652816172,depth12_width64,12,12,1.0,11,0.9166666666666666,12,1.0,2.404193643618513,0.21944444444444444,0.4888888888888889,0.39444444444444443,0.06111111111111111,0.053703703703703705,0.1037037037037037,False,-0.060328862184865606,0.0,0.12903767980123693,3.251792629615024,11,maximum,0.24172210516111658,0.08272027979018512,0.009591668659683179,0.08581435719798147,64
0.9888888888888889,4.8991605310528366,depth12_width64,12,12,1.0,10,0.8333333333333334,10,0.8333333333333334,3.0206283563816987,0.3212962962962963,0.5425925925925926,0.4935185185185185,0.044444444444444446,0.06574074074074074,0.09814814814814815,False,-0.06019458485146364,0.0,0.19623884654882,3.269226484000683,22,maximum,0.2423324357795031,0.2081014792452118,0.005479998786554292,0.1577279026887414,64
0.9222222222222223,4.756739352809058,depth12_width64,12,8,0.6666666666666666,3,0.25,9,0.75,2.7464807908844064,0.19537037037037036,0.40370370370370373,0.3435185185185185,0.14629629629629629,0.15185185185185185,0.18888888888888888,False,-0.27927590023933185,0.0,0.09263889379151267,3.268993318412039,33,maximum,0.20107445405473873,0.04481597048126989,-0.008341712321810149,0.05013025166139145,64
0.8888888888888888,4.798915657732222,depth12_width64,12,10,0.8333333333333334,6,0.5,10,0.8333333333333334,2.7284205827448105,0.262037037037037,0.475,0.37777777777777777,0.16296296296296298,0.17222222222222222,0.17314814814814813,False,-0.29378936173808246,0.0,0.26730848122132117,3.338533271021313,44,maximum,0.3328012609526653,0.15262325458504536,-0.0035476678904766837,0.14341348148451222,64
0.9333333333333333,4.547540121608311,depth12_width64,12,12,1.0,12,1.0,10,0.8333333333333334,2.598375398582882,0.15185185185185185,0.3472222222222222,0.32407407407407407,0.13518518518518519,0.11296296296296296,0.19166666666666668,False,-0.2291788988436262,0.0,0.2236592257759993,3.109356287232152,55,maximum,0.25641299079955693,0.10674742669625967,0.029269848096494872,0.06020495594755091,64
0.9555555555555556,4.77134567686805,depth12_width64,12,11,0.9166666666666666,8,0.6666666666666666,10,0.8333333333333334,2.405641034135112,0.21944444444444444,0.5185185185185185,0.3675925925925926,0.1111111111111111,0.09259259259259259,0.13240740740740742,False,-0.12743157729920412,0.0,0.1671331217446365,3.58956071993819,11,minimum,0.24885369751319322,0.13404617641914499,0.0064968302276813324,0.14143210846620302,64
0.9444444444444444,5.291651631946917,depth12_width64,12,10,0.8333333333333334,6,0.5,8,0.6666666666666666,2.5763111177417968,0.3277777777777778,0.6444444444444445,0.46574074074074073,0.09907407407407408,0.07685185185185185,0.12222222222222222,False,-0.21078426957958274,0.0,0.13209642060520074,3.898117045395904,22,minimum,0.23720705785181728,0.24104012407327968,0.00433751730489786,0.26330881952308116,64
0.9555555555555556,4.367729537133817,depth12_width64,12,11,0.9166666666666666,10,0.8333333333333334,10,0.8333333333333334,2.558830490487593,0.12407407407407407,0.29444444444444445,0.28425925925925927,0.1787037037037037,0.1814814814814815,0.21574074074074073,False,-0.20929223741922115,0.0,0.14745329309210287,2.9692648714891186,33,minimum,0.24545047119273578,0.17665919866585345,0.018902704835420957,0.1634484240492047,64
0.9444444444444444,4.617419969814795,depth12_width64,12,10,0.8333333333333334,9,0.75,9,0.75,2.6555370424632674,0.2638888888888889,0.44722222222222224,0.4361111111111111,0.10740740740740741,0.10648148148148148,0.15648148148148147,False,-0.17632660410470433,0.0,0.29100321838610665,3.155834067474913,44,minimum,0.3380001619562622,0.2044622407708731,0.012908489816753124,0.21670250668949276,64
0.9,4.337801227856565,depth12_width64,12,9,0.75,6,0.5,11,0.9166666666666666,2.547641908349814,0.14166666666666666,0.24537037037037038,0.21388888888888888,0.24444444444444444,0.27870370370370373,0.23796296296296296,False,-0.34274340942502024,0.0,0.21032747988760497,2.9928554554780322,55,minimum,0.2787382199146291,0.11166786731358755,0.00890013562273924,0.11700701969330786,64
