accuracy_minus_baseline_ci95_high,accuracy_minus_baseline_ci95_low,accuracy_minus_baseline_mean,correct_ci95_high,correct_ci95_low,correct_mean,mode,seed_n,task_family,variant
-0.8799999952316284,-0.9133332967758179,-0.8966667056083679,0.12000000476837158,0.08666667342185974,0.10333333909511566,closed,5,first,gated
-0.8733333349227905,-0.9133332967758179,-0.8933333158493042,0.12666667997837067,0.08666666597127914,0.1066666692495346,closed,5,last,gated
-0.8366667032241821,-0.949999988079071,-0.89000004529953,0.1366666704416275,0.04000000283122063,0.09000000357627869,closed,5,maximum,gated
-0.8700000643730164,-0.9300000071525574,-0.8999999761581421,0.12999999523162842,0.07000000774860382,0.10000000149011612,closed,5,middle,gated
-0.8166667222976685,-0.8700000047683716,-0.84333336353302,0.1599999964237213,0.1133333295583725,0.1366666853427887,closed,5,minimum,gated
0.0,0.0,0.0,1.0,1.0,1.0,mean,5,first,gated
0.0,0.0,0.0,1.0,1.0,1.0,mean,5,last,gated
-0.010000000707805157,-0.10333333164453506,-0.05000000447034836,0.9766666293144226,0.8700000047683716,0.9300000071525574,mean,5,maximum,gated
0.0,0.0,0.0,1.0,1.0,1.0,mean,5,middle,gated
0.010000000707805157,-0.030000001192092896,-0.010000000707805157,0.9899999499320984,0.9533332586288452,0.9700000882148743,mean,5,minimum,gated
0.0,0.0,0.0,1.0,1.0,1.0,native,5,first,gated
0.0,0.0,0.0,1.0,1.0,1.0,native,5,last,gated
0.010000000707805157,-0.04000000283122063,-0.010000000707805157,0.9899999499320984,0.9433333277702332,0.9700000882148743,native,5,maximum,gated
0.0,0.0,0.0,1.0,1.0,1.0,native,5,middle,gated
0.01666666753590107,-0.006666666828095913,0.006666666828095913,0.9966667294502258,0.9766666293144226,0.9866666793823242,native,5,minimum,gated
0.0,0.0,0.0,1.0,1.0,1.0,open,5,first,gated
0.0,0.0,0.0,1.0,1.0,1.0,open,5,last,gated
-0.0033333327155560255,-0.14666667580604553,-0.06000000983476639,0.9800000190734863,0.8233333826065063,0.9199999570846558,open,5,maximum,gated
0.0,-0.010000000707805157,-0.0033333334140479565,1.0,0.9899999499320984,0.9966667294502258,open,5,middle,gated
0.020000001415610313,-0.01666666753590107,0.0,0.9933333396911621,0.966666579246521,0.9800000190734863,open,5,minimum,gated
0.0,-0.010000000707805157,-0.0033333334140479565,1.0,0.9899999499320984,0.9966667294502258,shuffled,5,first,gated
0.0,0.0,0.0,1.0,1.0,1.0,shuffled,5,last,gated
-0.0033333334140479565,-0.1366666704416275,-0.06000000238418579,0.98333340883255,0.8399999737739563,0.9200000762939453,shuffled,5,maximum,gated
0.0,0.0,0.0,1.0,1.0,1.0,shuffled,5,middle,gated
-0.019999999552965164,-0.1066666692495346,-0.06333333998918533,0.9566666483879089,0.8733333349227905,0.9166666865348816,shuffled,5,minimum,gated
-0.8799999952316284,-0.9133332967758179,-0.8966667056083679,0.12000000476837158,0.08666667342185974,0.10333333909511566,closed,5,first,sa_ff_gated
-0.8733333349227905,-0.9133332967758179,-0.8933333158493042,0.12666667997837067,0.08666666597127914,0.1066666692495346,closed,5,last,sa_ff_gated
-0.8366667032241821,-0.949999988079071,-0.89000004529953,0.1366666704416275,0.03999999910593033,0.09000000357627869,closed,5,maximum,sa_ff_gated
-0.8700000643730164,-0.9300000071525574,-0.8999999761581421,0.1300000101327896,0.07000000029802322,0.10000000149011612,closed,5,middle,sa_ff_gated
-0.8166667222976685,-0.8700000047683716,-0.84333336353302,0.1599999964237213,0.11333334445953369,0.1366666853427887,closed,5,minimum,sa_ff_gated
0.0,0.0,0.0,1.0,1.0,1.0,mean,5,first,sa_ff_gated
0.0,-0.010000000707805157,-0.0033333334140479565,1.0,0.9899999499320984,0.9966667294502258,mean,5,last,sa_ff_gated
-0.020000001415610313,-0.06333333253860474,-0.03999999910593033,0.9666666984558105,0.9100000262260437,0.9399999380111694,mean,5,maximum,sa_ff_gated
0.0,0.0,0.0,1.0,1.0,1.0,mean,5,middle,sa_ff_gated
0.0066666677594184875,-0.013333333656191826,-0.0033333334140479565,0.9899999499320984,0.966666579246521,0.9766666293144226,mean,5,minimum,sa_ff_gated
0.0,0.0,0.0,1.0,1.0,1.0,native,5,first,sa_ff_gated
0.0,0.0,0.0,1.0,1.0,1.0,native,5,last,sa_ff_gated
0.013333333656191826,-0.013333333656191826,0.0,0.98333340883255,0.9733333587646484,0.9800000190734863,native,5,maximum,sa_ff_gated
0.0,0.0,0.0,1.0,1.0,1.0,native,5,middle,sa_ff_gated
0.013333333656191826,-0.0066666677594184875,0.0033333334140479565,0.9966667294502258,0.9699999690055847,0.9833332896232605,native,5,minimum,sa_ff_gated
0.0,-0.013333333656191826,-0.006666666828095913,1.0,0.9866666793823242,0.9933333396911621,open,5,first,sa_ff_gated
0.0,-0.07000000029802322,-0.023333333432674408,1.0,0.9300000071525574,0.9766666293144226,open,5,last,sa_ff_gated
-0.006666666362434626,-0.1300000101327896,-0.05666666477918625,0.9766666293144226,0.84333336353302,0.9233333468437195,open,5,maximum,sa_ff_gated
0.0,-0.020000001415610313,-0.006666666828095913,1.0,0.9800000190734863,0.9933333396911621,open,5,middle,sa_ff_gated
-0.006666666828095913,-0.03999999910593033,-0.023333335295319557,0.9700000882148743,0.9433333277702332,0.9566666483879089,open,5,minimum,sa_ff_gated
0.0,0.0,0.0,1.0,1.0,1.0,shuffled,5,first,sa_ff_gated
0.0,-0.03333333507180214,-0.013333333656191826,1.0,0.9666666984558105,0.9866666793823242,shuffled,5,last,sa_ff_gated
-0.01666666753590107,-0.10666666179895401,-0.056666672229766846,0.9700000882148743,0.8700000047683716,0.9233333468437195,shuffled,5,maximum,sa_ff_gated
0.0,-0.010000000707805157,-0.0033333334140479565,1.0,0.9899999499320984,0.9966667294502258,shuffled,5,middle,sa_ff_gated
-0.023333335295319557,-0.10333333164453506,-0.06333333998918533,0.9566666483879089,0.8766667246818542,0.9166666865348816,shuffled,5,minimum,sa_ff_gated
