best_val_loss,checkpoint,cycle,depth,device,experiment,model_family,model_variant,native_capture_max_logit_error,parameters,revision,run_id,seed,task_family,test_examples,training_seconds,validation_gate_means,width
0.0103536775708198,artifacts/cycle_b/b6_gating/runs/gated/seed-11/model.pt,B,16,cuda,B6,tiny_custom_transformer,gated,0.0,550362,1,gated-seed-11,11,maximum+minimum+first+middle+last,300,69.31725380010903,"{""block"": [0.7814743932088216, 0.7369962628682455, 0.770643081665039, 0.904317512512207, 0.8799784851074218, 0.8703285725911458, 0.954439951578776, 0.907256965637207, 0.8696924845377604, 0.6652720959981283, 0.7094641367594401, 0.6761374855041504, 0.743050537109375, 0.6271650441487631, 0.6546041552225749, 0.6978117624918619], ""sa"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""ff"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",64
0.0434566644827524,artifacts/cycle_b/b6_gating/runs/gated/seed-22/model.pt,B,16,cuda,B6,tiny_custom_transformer,gated,0.0,550362,1,gated-seed-22,22,maximum+minimum+first+middle+last,300,66.508519400144,"{""block"": [0.9294312413533529, 0.8022176233927408, 0.8202733103434244, 0.917796885172526, 0.821411018371582, 0.8633794148763021, 0.8263370768229167, 0.6983556238810221, 0.7991431045532227, 0.7345586522420248, 0.8951265716552734, 0.788042958577474, 0.7593125279744466, 0.684860979715983, 0.7004520988464356, 0.7845413589477539], ""sa"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""ff"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",64
0.0083105280995368,artifacts/cycle_b/b6_gating/runs/gated/seed-33/model.pt,B,16,cuda,B6,tiny_custom_transformer,gated,0.0,550362,1,gated-seed-33,33,maximum+minimum+first+middle+last,300,66.53208740008995,"{""block"": [0.8483005142211915, 0.8959304682413737, 0.7774231211344401, 0.9395101420084635, 0.8208942667643229, 0.9425401178995768, 0.9331413014729818, 0.8794932047526042, 0.6512902069091797, 0.7163735707600911, 0.7936025619506836, 0.7803371556599935, 0.5957368659973145, 0.7627079836527506, 0.8656826146443685, 0.493523006439209], ""sa"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""ff"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",64
0.025724083383878,artifacts/cycle_b/b6_gating/runs/gated/seed-44/model.pt,B,16,cuda,B6,tiny_custom_transformer,gated,0.0,550362,1,gated-seed-44,44,maximum+minimum+first+middle+last,300,66.64066569996066,"{""block"": [0.9728575134277344, 0.8594634373982747, 0.9323008982340495, 0.9429270172119141, 0.8206283442179362, 0.7679901504516602, 0.7847768783569335, 0.8696296564737955, 0.7907546997070313, 0.650631472269694, 0.8133409754435221, 0.681237564086914, 0.8204752477010091, 0.8528348032633464, 0.5924151039123535, 0.825484987894694], ""sa"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""ff"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",64
0.011584422190984,artifacts/cycle_b/b6_gating/runs/gated/seed-55/model.pt,B,16,cuda,B6,tiny_custom_transformer,gated,0.0,550362,1,gated-seed-55,55,maximum+minimum+first+middle+last,300,67.17276270012371,"{""block"": [0.9437936528523763, 0.9606658299763997, 0.7628682327270507, 0.7378437296549479, 0.9277757008870443, 0.8999796295166016, 0.930382932027181, 0.7498393376668294, 0.9347327423095703, 0.8323505783081054, 0.6603754425048828, 0.7882266108194987, 0.9536176554361979, 0.5409439913431804, 0.5191273752848308, 0.5907477823893229], ""sa"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], ""ff"": [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",64
0.0095422781507174,artifacts/cycle_b/b6_gating/runs/sa_ff_gated/seed-11/model.pt,B,16,cuda,B6,tiny_custom_transformer,sa_ff_gated,0.0,551402,1,sa_ff_gated-seed-11,11,maximum+minimum+first+middle+last,300,69.57815869990736,"{""block"": [0.7766253153483073, 0.7810697174072265, 0.7250371805826823, 0.8102201970418295, 0.7638936106363933, 0.7866371917724609, 0.7791817474365235, 0.8036623891194662, 0.747790273030599, 0.6700166956583659, 0.6876821454366048, 0.6450310516357421, 0.7190620930989583, 0.7858866373697917, 0.7842172114054362, 0.7171745681762696], ""sa"": [0.9341149012247721, 0.8756483968098958, 0.9337565104166666, 0.9327905019124348, 0.8736762491861979, 0.8694730631510417, 0.9593257395426432, 0.8669617589314779, 0.8912013753255208, 0.6576119550069173, 0.7028314399719239, 0.6941473897298177, 0.7196941630045572, 0.6185139274597168, 0.7070581881205241, 0.6255174954732259], ""ff"": [0.6191357294718425, 0.6864911079406738, 0.5163178698221842, 0.6876499112447103, 0.654110984802246, 0.7038013458251953, 0.5990377553304036, 0.7403630193074544, 0.604379170735677, 0.6824214553833008, 0.6725328191121419, 0.5959147516886393, 0.7184300359090169, 0.9532593790690104, 0.8613762791951497, 0.808831647237142]}",64
0.0409337210655212,artifacts/cycle_b/b6_gating/runs/sa_ff_gated/seed-22/model.pt,B,16,cuda,B6,tiny_custom_transformer,sa_ff_gated,0.0,551402,1,sa_ff_gated-seed-22,22,maximum+minimum+first+middle+last,300,69.79475460015237,"{""block"": [0.806861317952474, 0.7518716812133789, 0.6913395182291666, 0.7826911290486653, 0.7833562596638998, 0.8265353647867838, 0.7880256017049153, 0.7303217697143555, 0.7618130238850912, 0.7594283294677734, 0.8125055694580078, 0.7989284896850586, 0.7472480392456055, 0.6053901608784994, 0.6999217160542806, 0.7237524159749349], ""sa"": [0.9764161046346028, 0.954294548034668, 0.8845886611938476, 0.9454079691569011, 0.9146481959025065, 0.873435287475586, 0.8769138590494792, 0.7218508656819661, 0.8138999303181966, 0.8363700103759766, 0.8871649042765299, 0.805614242553711, 0.8276670837402343, 0.6392229970296224, 0.5315831565856933, 0.7023608271280924], ""ff"": [0.6373065439860026, 0.5494487953186035, 0.49809043248494467, 0.6199742698669434, 0.652064323425293, 0.7796353658040365, 0.6991373697916666, 0.7387926864624024, 0.7097261047363281, 0.682486629486084, 0.7378462219238281, 0.7922427241007487, 0.6668289947509766, 0.5715572992960612, 0.8682602945963541, 0.7451439793904623]}",64
0.0187545864780743,artifacts/cycle_b/b6_gating/runs/sa_ff_gated/seed-33/model.pt,B,16,cuda,B6,tiny_custom_transformer,sa_ff_gated,0.0,551402,1,sa_ff_gated-seed-33,33,maximum+minimum+first+middle+last,300,70.64473009994254,"{""block"": [0.7600576655069987, 0.807517229715983, 0.7329471079508464, 0.7943733342488607, 0.7994621022542318, 0.8389928181966145, 0.8215132013956705, 0.802055549621582, 0.6253421401977539, 0.7558402506510417, 0.8166624832153321, 0.74299134572347, 0.6232664807637532, 0.7359856351216634, 0.7823576227823893, 0.5935935338338216], ""sa"": [0.9407572555541992, 0.9606571451822916, 0.7871311696370443, 0.9608295059204102, 0.854322992960612, 0.9555229949951172, 0.8558535385131836, 0.8661193084716797, 0.5982553990681966, 0.6799344889322917, 0.8267417526245118, 0.7541423034667969, 0.49811893463134765, 0.7682331975301107, 0.6715121650695801, 0.5768389066060384], ""ff"": [0.5793580373128255, 0.6543773333231608, 0.678763058980306, 0.6279171371459961, 0.7446012242635092, 0.7224627176920573, 0.7871728897094726, 0.7379917907714844, 0.6524288813273112, 0.8317460123697916, 0.8065832392374674, 0.7318403752644856, 0.7484140586853028, 0.7037380663553874, 0.8932030995686849, 0.6103481165568034]}",64
0.0294043534994125,artifacts/cycle_b/b6_gating/runs/sa_ff_gated/seed-44/model.pt,B,16,cuda,B6,tiny_custom_transformer,sa_ff_gated,0.0,551402,1,sa_ff_gated-seed-44,44,maximum+minimum+first+middle+last,300,69.41933339997195,"{""block"": [0.9114132944742839, 0.8473702494303386, 0.8436373519897461, 0.7651025263468424, 0.7943694178263346, 0.7201564534505208, 0.7783022054036458, 0.7075560442606608, 0.7314409510294596, 0.7629078928629557, 0.8057396697998047, 0.7650963083902995, 0.7812242126464843, 0.8123009745279948, 0.5963265991210938, 0.7789976755777995], ""sa"": [0.982702865600586, 0.9337505467732747, 0.9600159708658854, 0.9481047058105468, 0.8826098887125651, 0.7816335805257162, 0.8590613301595053, 0.8829523595174154, 0.785380744934082, 0.756822141011556, 0.8569068527221679, 0.7565006128946941, 0.6937794367472331, 0.8255700429280599, 0.5744729487101237, 0.7398588562011719], ""ff"": [0.840123774210612, 0.7609900029500326, 0.7272587076822916, 0.5821002960205078, 0.7061289278666179, 0.6586793136596679, 0.697543093363444, 0.5321597290039063, 0.6775011571248373, 0.768993657430013, 0.7545724868774414, 0.7736919403076172, 0.8686689758300781, 0.7990319315592448, 0.6181802813212077, 0.8181364186604818]}",64
0.0048029221594333,artifacts/cycle_b/b6_gating/runs/sa_ff_gated/seed-55/model.pt,B,16,cuda,B6,tiny_custom_transformer,sa_ff_gated,0.0,551402,1,sa_ff_gated-seed-55,55,maximum+minimum+first+middle+last,300,70.38886100007221,"{""block"": [0.8872780227661132, 0.8066081110636393, 0.8177399444580078, 0.8200663375854492, 0.8008446629842122, 0.6786586380004883, 0.8415171051025391, 0.6613399251302083, 0.7590720748901367, 0.8654366048177083, 0.6739296531677246, 0.7002834065755208, 0.719271608988444, 0.669737434387207, 0.5349383163452148, 0.6784061749776205], ""sa"": [0.911868667602539, 0.9731927871704101, 0.9226730982462565, 0.8222539901733399, 0.936050402323405, 0.8929046249389648, 0.9387373479207357, 0.8225638834635417, 0.857517458597819, 0.872744140625, 0.7393296051025391, 0.729498519897461, 0.876944719950358, 0.6575978406270345, 0.46687171936035154, 0.6557913398742676], ""ff"": [0.862687390645345, 0.6400234667460124, 0.7128068033854167, 0.8178787358601888, 0.6656389617919922, 0.46441262563069663, 0.7442968495686849, 0.5001159604390463, 0.6606267420450846, 0.8581290562947591, 0.6085297012329102, 0.6710683059692383, 0.561598523457845, 0.6818769963582357, 0.6030049514770508, 0.7010210609436035]}",64
