accuracy_minus_baseline,baseline_accuracy,correct,mode,seed,task_family,variant
0.0,1.0,1.0,open,55,first,gated
0.0,1.0,1.0,open,55,last,gated
-0.2333333333333334,0.9666666666666667,0.7333333333333333,open,55,maximum,gated
0.0,1.0,1.0,open,55,middle,gated
-0.016666666666666607,0.9833333333333333,0.9666666666666667,open,55,minimum,gated
0.0,1.0,1.0,shuffled,11,first,gated
0.0,1.0,1.0,shuffled,11,last,gated
-0.01666666666666672,0.9666666666666667,0.95,shuffled,11,maximum,gated
0.0,1.0,1.0,shuffled,11,middle,gated
-0.016666666666666607,0.9833333333333333,0.9666666666666667,shuffled,11,minimum,gated
-0.01666666666666672,1.0,0.9833333333333333,shuffled,22,first,gated
0.0,1.0,1.0,shuffled,22,last,gated
-0.08333333333333326,0.9833333333333333,0.9,shuffled,22,maximum,gated
0.0,1.0,1.0,shuffled,22,middle,gated
-0.11666666666666659,0.9833333333333333,0.8666666666666667,shuffled,22,minimum,gated
0.0,1.0,1.0,shuffled,33,first,gated
0.0,1.0,1.0,shuffled,33,last,gated
0.0,1.0,1.0,shuffled,33,maximum,gated
0.0,1.0,1.0,shuffled,33,middle,gated
-0.033333333333333326,0.9833333333333333,0.95,shuffled,33,minimum,gated
0.0,1.0,1.0,shuffled,44,first,gated
0.0,1.0,1.0,shuffled,44,last,gated
0.0,0.9833333333333333,0.9833333333333333,shuffled,44,maximum,gated
0.0,1.0,1.0,shuffled,44,middle,gated
-0.01666666666666672,0.9666666666666667,0.95,shuffled,44,minimum,gated
0.0,1.0,1.0,shuffled,55,first,gated
0.0,1.0,1.0,shuffled,55,last,gated
-0.19999999999999996,0.9666666666666667,0.7666666666666667,shuffled,55,maximum,gated
0.0,1.0,1.0,shuffled,55,middle,gated
-0.1333333333333333,0.9833333333333333,0.85,shuffled,55,minimum,gated
-0.8833333333333333,1.0,0.11666666666666667,closed,11,first,sa_ff_gated
-0.9,1.0,0.1,closed,11,last,sa_ff_gated
-0.8666666666666667,0.9666666666666667,0.1,closed,11,maximum,sa_ff_gated
-0.8666666666666667,1.0,0.13333333333333333,closed,11,middle,sa_ff_gated
-0.8166666666666667,0.9833333333333333,0.16666666666666666,closed,11,minimum,sa_ff_gated
-0.9166666666666666,1.0,0.08333333333333333,closed,22,first,sa_ff_gated
-0.8666666666666667,1.0,0.13333333333333333,closed,22,last,sa_ff_gated
-0.9166666666666666,0.9833333333333333,0.06666666666666667,closed,22,maximum,sa_ff_gated
-0.8666666666666667,1.0,0.13333333333333333,closed,22,middle,sa_ff_gated
