gate_block_above_0_9,gate_block_below_0_5,gate_block_mean,gate_candidate_norm_spearman,gate_ff_above_0_9,gate_ff_below_0_5,gate_ff_mean,gate_sa_above_0_9,gate_sa_below_0_5,gate_sa_mean,gate_utility_block_spearman,gate_utility_ff_spearman,gate_utility_sa_spearman,layer,n,seed,task_family,utility_block_mean,utility_ff_mean,utility_sa_mean,variant
0.0,0.0,0.7702169597148896,-0.18978002519507775,1.0,0.0,1.0,1.0,0.0,1.0,-0.13590951737866372,,,0,60,11,first,0.02098505221074447,0.00027337001714234553,0.004706989966022471,gated
1.0,0.0,0.932975497841835,-0.004736792830891765,1.0,0.0,1.0,1.0,0.0,1.0,0.05003062250379763,,,0,60,22,first,0.04343740811261038,0.013344189536292106,0.004866412173335751,gated
0.15,0.0,0.8499870071808497,-0.1676095924777086,1.0,0.0,1.0,1.0,0.0,1.0,-0.4089898283335659,,,0,60,33,first,0.24809997325840716,0.0009917026928936443,0.1418450393442375,gated
1.0,0.0,0.9703842004140218,-0.20292532600980104,1.0,0.0,1.0,1.0,0.0,1.0,-0.006446522787604177,,,0,60,44,first,0.0630662345715488,0.04153635633410886,-0.000814938001955549,gated
1.0,0.0,0.9439317345619201,0.6244158028793297,1.0,0.0,1.0,1.0,0.0,1.0,-0.11317851746237245,,,0,60,55,first,0.010982424975372851,0.0015039683785289526,0.0023623318411409855,gated
0.0,0.0,0.7545225868622462,-0.09291469852736872,1.0,0.0,1.0,1.0,0.0,1.0,-0.13687135315365384,,,1,60,11,first,0.0006449286631929378,0.0008504357693406443,0.00024943112706144653,gated
0.35,0.0,0.8767226835091909,-0.28813559322033905,1.0,0.0,1.0,1.0,0.0,1.0,0.08057793831619896,,,1,60,22,first,0.1182518965137812,0.006905574374832213,0.023894326159885775,gated
0.5833333333333334,0.0,0.8952521860599518,0.21155876632397896,1.0,0.0,1.0,1.0,0.0,1.0,-0.30319533203667687,,,1,60,33,first,0.0007290323226091763,0.0020190520444884896,-0.0003084343470012148,gated
0.03333333333333333,0.0,0.8709020972251892,0.4434565156988053,1.0,0.0,1.0,1.0,0.0,1.0,-0.20616838010558491,,,1,60,44,first,0.08525220745941624,0.0735476149013266,0.0015148276113905012,gated
1.0,0.0,0.9653245429197947,0.6210614059460962,1.0,0.0,1.0,1.0,0.0,1.0,0.1950541817171437,,,1,60,55,first,0.1507844653368617,0.00047133398863176504,0.2118419067041638,gated
0.0,0.0,0.7072605619827906,0.13459294248402337,1.0,0.0,1.0,1.0,0.0,1.0,-0.22923034176160048,,,2,60,11,first,0.026312840175038824,0.0001617548793243865,0.015473935807434221,gated
0.11666666666666667,0.0,0.8477642774581909,0.3644901361489303,1.0,0.0,1.0,1.0,0.0,1.0,-0.2557377049180329,,,2,60,22,first,0.07236439155725141,0.002019821219922354,0.033238333409341674,gated
0.016666666666666666,0.0,0.8111536761124929,-0.48402333981661577,1.0,0.0,1.0,1.0,0.0,1.0,-0.3750486246179495,,,2,60,33,first,0.02623060312277327,0.006999729694022487,0.02680356539397811,gated
0.9833333333333333,0.0,0.9287339210510254,0.0871908863573215,1.0,0.0,1.0,1.0,0.0,1.0,0.1463184217838289,,,2,60,44,first,0.01574251118193691,0.007447792764287442,0.002364546184738477,gated
0.35,0.0,0.8848005374272664,0.016226729647124204,1.0,0.0,1.0,1.0,0.0,1.0,0.08519033064740207,,,2,60,55,first,0.008798328860818098,0.00044759391651799283,0.006644511641934514,gated
0.7333333333333333,0.0,0.91629858314991,0.04423450958599612,1.0,0.0,1.0,1.0,0.0,1.0,-0.033231453181439295,,,3,60,11,first,1.151395423768554,-1.346805365756154e-05,1.1731116233859211,gated
