condition,mean_accuracy,seed_ci_high,seed_ci_low
native,0.5985184907913208,0.62370365858078,0.5688889026641846
forced_open,0.5948147773742676,0.6207407712936401,0.5666666626930237
shuffled_goal,0.5977777242660522,0.627407431602478,0.563703715801239
zero_goal,0.5955556035041809,0.6237037181854248,0.5644444227218628
