accuracy,condition,loss,perplexity,seed
0.5407407407407407,native,1.5084153493245442,4.519563187879517,11
0.5407407407407407,forced_open,1.5151752259996203,4.550218373557427,11
0.5333333333333333,shuffled_goal,1.5061907097145364,4.509519964010653,11
0.5333333333333333,zero_goal,1.5896280218053747,4.901925179871725,11
0.6296296296296297,native,1.3592796749538845,3.893387786738113,22
0.6370370370370371,forced_open,1.3730476944534866,3.947362737176263,22
0.6407407407407407,shuffled_goal,1.359522600527163,3.894333705087429,22
0.6370370370370371,zero_goal,1.4680306328667534,4.340678328839116,22
0.6296296296296297,native,1.3178646794071904,3.735436500676118,33
0.6185185185185185,forced_open,1.3220461951361762,3.751088989916229,33
0.6185185185185185,shuffled_goal,1.343488989935981,3.8323913814839914,33
0.6185185185185185,zero_goal,1.4244244540179218,4.15546549290027,33
0.6,native,1.406948937310113,4.083477432574781,44
0.5925925925925926,forced_open,1.4188687077275028,4.132442794258209,44
0.6,shuffled_goal,1.4310067918565539,4.182908390778681,44
0.6037037037037037,zero_goal,1.5349952273898655,4.641303378769559,44
0.5925925925925926,native,1.4092311011420355,4.0928072391040375,55
0.5851851851851851,forced_open,1.4176139972828052,4.127261026610936,55
0.5962962962962963,shuffled_goal,1.422997644212511,4.1495406617976505,55
0.5851851851851851,zero_goal,1.5723538222136322,4.8179755150871655,55
