layer,attention_relative_update_norm,ff_relative_update_norm,attention_ff_cosine,attention_ff_cancellation,block_relative_update_norm,attention_entropy,attention_top1_mass,attention_sink_mass,head_output_norm,sa_utility,ff_utility,block_utility
0,7.0677678506452954,0.6286851856243479,0.12422772760984006,0.2306929220865061,8.876799348946456,1.3212827682432762,0.5244803780793458,0.1341668546115523,1.3683740365124502,12.34257984161377,3.969609498977661,9.731181144714355
1,0.43975458629838715,0.6174210984628279,-0.15165746396607055,0.32610831286881,0.7653917570363035,1.373418367746086,0.5009564670624088,0.20709372058373984,0.914262159573999,6.2986159324646,5.6040215492248535,9.293517112731934
2,0.5780570764954274,21.87868676088996,-0.27752485999755644,0.3602407012994473,39.05854053074842,1.2963061169304073,0.5359236727261425,0.22582873426671196,1.4394045147922012,0.4512535035610199,2.8443031311035156,2.523022174835205
3,0.43259180779704776,0.49133786722252276,-0.1635614029991512,0.3151696347273313,0.6505504308736488,0.7955163249896762,0.7301785737406564,0.6728659453473462,1.1981847369531682,0.255430668592453,0.09730404615402222,0.23732398450374603
4,0.3291729660336137,0.4299326735158252,-0.13415254558088605,0.3037147772508663,0.5060483947692753,0.8906542732389365,0.7046315976659061,0.6392103681588835,1.4138840807647863,0.13200940191745758,0.39076554775238037,0.6035066246986389
5,0.3742466587938687,0.37554959725082804,-0.15029216831253206,0.31602708471345375,0.5305843292005522,0.8005155913830834,0.7330144615153076,0.676194891920334,1.4397944390318347,0.14908750355243683,0.09843361377716064,0.33669403195381165
6,0.3087254205025741,0.407032438364405,-0.10705240636009845,0.2950075786192339,0.49016000672729987,0.8803558101563819,0.7135196214152889,0.6112426829844417,1.5506504764780402,0.10871515423059464,0.11698812246322632,0.2545332610607147
7,0.29015214739726847,0.4074792076148197,-0.19077994411422328,0.3168623774916261,0.4662369139551519,1.0617038614882903,0.6376332114220361,0.5833530397773486,2.0885996793161383,0.0488373339176178,0.08066714555025101,0.09438970685005188
8,0.3015913527742269,0.3510664815646403,-0.16974913689133886,0.3117513222681297,0.4413909097624288,0.8385440935335182,0.7204307422366832,0.6496215843213217,2.087575844064314,0.06258098036050797,0.0867566391825676,0.12413405627012253
9,0.2780580971528172,0.33951415903605336,-0.0803274725267029,0.2908502656679887,0.4319678863147811,0.8928613411124708,0.7076326450486514,0.6167176226386241,2.559460411206461,0.07234062999486923,0.023237640038132668,0.03478306159377098
10,0.2160253301226076,0.41066495329110636,-0.07620968609846167,0.2583805761494479,0.4656866046289496,1.061982230142918,0.6469838427799334,0.6115299205360586,2.5125216530369863,0.0385533943772316,0.10945725440979004,0.1526077836751938
11,0.3168038365331665,0.263723009616562,-0.08195559009346742,0.28725998742239817,0.42250772744208026,0.9146628491947962,0.7021106313952439,0.5636894893006582,4.040319175776708,0.029997525736689568,0.18284165859222412,0.340951532125473
12,0.17389877033173645,0.25220864444266194,-0.15954578580887435,0.3230983567434353,0.2797189630252363,0.9589633409585796,0.6931331773367864,0.6634017181866031,2.8956977672526962,0.029929371550679207,0.03616073355078697,0.09221243858337402
13,0.21786956052800543,0.22659166463864283,-0.1794264485066818,0.3338699604456241,0.2912186011659227,1.2089038546646007,0.5870596549031069,0.49291472403595704,4.881889571548327,0.0856802687048912,0.01955285295844078,0.11729973554611206
14,0.20552233087393368,0.25021029903540354,-0.0700717913306697,0.2881247727098046,0.3138241717839104,0.9043130408060208,0.7011416794637546,0.6400524618453985,3.5219368781321325,0.043051522225141525,-0.023631921038031578,0.010992427356541157
15,0.22723546976883702,0.26301199612502746,-0.2310159746557474,0.35260024928784633,0.31497476272816527,1.0391992532493353,0.6824674483498682,0.645398443477781,4.257814813466681,0.054451584815979004,0.0729016661643982,0.17860688269138336
16,0.3262101045523765,0.3646217334625072,-0.12154656790892829,0.304701559982457,0.5026270163841647,1.241505567003181,0.5881007760174696,0.534346673530508,6.311351068358827,0.11561280488967896,0.034225013107061386,0.0764017328619957
17,0.2529004623158451,0.27364533318749246,-0.10752645811222104,0.3073660131994185,0.37528869757495287,1.14912120131651,0.6371076252250062,0.6224186777197667,7.91750984823147,0.12625104188919067,-0.026118380948901176,0.0809256061911583
