mode,layer,utility_mean,utility_ci95_low,utility_ci95_high,utility_median,utility_std,n
skip_attention,0,12.34257984161377,10.603561401367188,13.757999420166016,12.665520668029785,4.151933508944779,24
skip_attention,1,6.2986159324646,4.135220527648926,8.182494163513184,8.676729202270508,5.156056151899583,24
skip_attention,2,0.4512535035610199,0.14823609590530396,0.7681336998939514,0.1874091625213623,0.8120101841355332,24
skip_attention,3,0.255430668592453,0.13741041719913483,0.38732993602752686,0.08071798086166382,0.31350156014037517,24
skip_attention,4,0.13200940191745758,0.06073736399412155,0.20937936007976532,0.10489702224731445,0.1876035961778861,24
skip_attention,5,0.14908750355243683,0.04427027702331543,0.27403897047042847,0.06418174505233765,0.286263971809037,24
skip_attention,6,0.10871515423059464,0.03463422879576683,0.20583711564540863,0.05127382278442383,0.22165042209564698,24
skip_attention,7,0.0488373339176178,0.0042179725132882595,0.09967360645532608,0.005013227462768555,0.12156842474642154,24
skip_attention,8,0.06258098036050797,0.02624465711414814,0.10209935158491135,0.03291523456573486,0.09740558910661516,24
skip_attention,9,0.07234062999486923,0.008139501325786114,0.1482195258140564,0.005222916603088379,0.17330572857314766,24
skip_attention,10,0.0385533943772316,-0.0054923114366829395,0.08709099143743515,-0.0066947340965271,0.12039123558910401,24
skip_attention,11,0.029997525736689568,-0.04476676881313324,0.1227077916264534,-0.013084977865219116,0.21865344955697455,24
skip_attention,12,0.029929371550679207,-0.007717278320342302,0.06506332755088806,0.021294832229614258,0.09182767754379634,24
skip_attention,13,0.0856802687048912,0.0463971346616745,0.12905628979206085,0.06013679504394531,0.10584263285947443,24
skip_attention,14,0.043051522225141525,0.00044410739792510867,0.08572516590356827,0.049349069595336914,0.10723662370907344,24
skip_attention,15,0.054451584815979004,0.017259277403354645,0.09552593529224396,0.028046369552612305,0.09947749027963097,24
skip_attention,16,0.11561280488967896,0.059005726128816605,0.17351074516773224,0.044288456439971924,0.1506466882025215,24
skip_attention,17,0.12625104188919067,0.0730230063199997,0.1872117519378662,0.055371761322021484,0.14744430415162968,24
skip_attention,18,0.3046877980232239,0.17747269570827484,0.44688406586647034,0.14668726921081543,0.33419679739640845,24
skip_attention,19,0.2257719188928604,0.13388122618198395,0.31983619928359985,0.17773652076721191,0.2369110050553142,24
skip_attention,20,0.14092904329299927,0.08653540164232254,0.20041288435459137,0.09523475170135498,0.14796509084103643,24
skip_attention,21,0.33439138531684875,0.23213745653629303,0.4372018873691559,0.2807905673980713,0.25713643175836703,24
skip_attention,22,0.2378024309873581,0.15981559455394745,0.3295283317565918,0.15636730194091797,0.2152024135285906,24
skip_attention,23,0.2865065038204193,0.16227762401103973,0.42163780331611633,0.1642441749572754,0.3434714771108371,24
skip_attention,24,0.0825665071606636,0.029637491330504417,0.14694252610206604,0.048265278339385986,0.14805369625668388,24
skip_attention,25,0.3780713379383087,0.21065664291381836,0.5856679081916809,0.12402224540710449,0.49379666977570236,24
skip_attention,26,0.13363386690616608,0.07613381743431091,0.20168790221214294,0.07283598184585571,0.1572071970014955,24
skip_attention,27,0.07180798798799515,0.04365050047636032,0.10582084208726883,0.05088186264038086,0.08236945991198033,24
skip_block,0,9.731181144714355,8.22562313079834,11.275617599487305,8.625032424926758,3.9357902843855674,24
skip_block,1,9.293517112731934,7.869511127471924,10.857351303100586,7.2616119384765625,3.9498150164036296,24
skip_block,2,2.523022174835205,1.293529987335205,3.507702112197876,2.2560510635375977,2.9751766817437364,24
skip_block,3,0.23732398450374603,0.10192151367664337,0.37707841396331787,0.1149066686630249,0.3526599559605016,24
skip_block,4,0.6035066246986389,0.296663761138916,0.94871586561203,0.13690686225891113,0.8412879566569587,24
