native_accuracy,seed,shuffled_accuracy,variant,zero_accuracy
0.5407407407407407,11,0.5296296296296297,goal,0.5333333333333333
0.6148148148148148,22,0.6222222222222222,goal,0.6111111111111112
0.6185185185185185,33,0.6185185185185185,goal,0.6333333333333333
0.6,44,0.5962962962962963,goal,0.6148148148148148
0.5888888888888889,55,0.5962962962962963,goal,0.5851851851851851
0.5555555555555556,11,0.09259259259259259,goal_only,0.1111111111111111
0.5481481481481482,22,0.08518518518518518,goal_only,0.13703703703703704
0.5888888888888889,33,0.0962962962962963,goal_only,0.07777777777777778
0.4925925925925926,44,0.10740740740740741,goal_only,0.08518518518518518
0.5481481481481482,55,0.07407407407407407,goal_only,0.07777777777777778
