control,mean_test_mae,mean_test_r2,median_test_r2,positive_r2_fraction
goal_latent,0.148394383176943,-0.0016806779688770719,-0.0024126416409975815,0.5
current_residual,0.1419598270539312,0.03137214577108423,0.05155016078767222,0.7333333333333333
pooled_residual,0.1312991031465496,0.16337395467769722,0.21066839629911988,0.8333333333333334
moment_random,0.16248445564148703,-0.1671415963828288,-0.15676462268832914,0.0
shuffled_goal,0.16105650997020546,-0.15269979658362107,-0.15102453982981456,0.0
