example_ci_high,example_ci_low,layer,mean_utility,seed,task
0.13315530121326447,0.06348537653684616,0,0.09696447849273682,11,maximum
0.3097693622112274,0.1704716980457306,0,0.2372584491968155,22,maximum
0.2878462076187134,0.188276469707489,0,0.23896703124046326,33,maximum
0.47968319058418274,0.35673195123672485,0,0.4180644452571869,44,maximum
0.23202034831047058,0.16481393575668335,0,0.199589341878891,55,maximum
0.5434038043022156,0.40862226486206055,1,0.47870367765426636,11,maximum
0.3744748532772064,0.24654120206832886,1,0.3086400330066681,22,maximum
0.5386291742324829,0.3818622827529907,1,0.46003299951553345,33,maximum
0.10612108558416367,0.049206431955099106,1,0.07635140419006348,44,maximum
0.043612878769636154,-0.007056965492665768,1,0.018747813999652863,55,maximum
0.12860161066055298,0.06381823122501373,2,0.0934208333492279,11,maximum
0.3793076276779175,0.2549397647380829,2,0.31737449765205383,22,maximum
0.15791158378124237,0.08081299811601639,2,0.1178065836429596,33,maximum
0.2503455579280853,0.17465023696422577,2,0.21011218428611755,44,maximum
0.254976361989975,0.15719424188137054,2,0.20636408030986786,55,maximum
0.21174445748329163,0.16411632299423218,3,0.18739359080791473,11,maximum
0.11577608436346054,0.07821186631917953,3,0.09695273637771606,22,maximum
0.21121782064437866,0.131454735994339,3,0.17039769887924194,33,maximum
0.22891324758529663,0.16833311319351196,3,0.19826696813106537,44,maximum
0.37176623940467834,0.2826605439186096,3,0.3273024260997772,55,maximum
0.17721140384674072,0.10472261160612106,0,0.14116893708705902,11,minimum
0.3573765456676483,0.2522026598453522,0,0.3052639067173004,22,minimum
0.17590413987636566,0.09999266266822815,0,0.13805745542049408,33,minimum
0.39008718729019165,0.29822590947151184,0,0.3440603017807007,44,minimum
0.15189887583255768,0.06296110153198242,0,0.10659981518983841,55,minimum
0.05268150568008423,0.007075069937855005,1,0.029891006648540497,11,minimum
0.2165018916130066,0.11916056275367737,1,0.16722142696380615,22,minimum
0.23039905726909637,0.1422816663980484,1,0.1844245046377182,33,minimum
0.5441884398460388,0.4260130822658539,1,0.4846723675727844,44,minimum
0.2874507009983063,0.16661006212234497,1,0.22653824090957642,55,minimum
0.36427026987075806,0.2643737196922302,2,0.3145543336868286,11,minimum
0.42503106594085693,0.30693545937538147,2,0.3657182455062866,22,minimum
0.28440025448799133,0.15946024656295776,2,0.21928445994853973,33,minimum
0.1502198427915573,0.07061770558357239,2,0.1102277860045433,44,minimum
0.20354647934436798,0.12256857752799988,2,0.16228972375392914,55,minimum
0.09604789316654205,0.05247396603226662,3,0.07415339350700378,11,minimum
0.12541912496089935,0.06912919878959656,3,0.09624937921762466,22,minimum
0.19252003729343414,0.1248892992734909,3,0.15789665281772614,33,minimum
0.23797541856765747,0.1585109531879425,3,0.19796617329120636,44,minimum
0.1594291478395462,0.09547016769647598,3,0.12677595019340515,55,minimum
0.01901892013847828,-0.011882363818585873,0,0.0035698532592505217,11,sum_mod_10
0.026917094364762306,-0.005402340088039637,0,0.010315906256437302,22,sum_mod_10
0.007157311774790287,-0.0323910117149353,0,-0.012616753578186035,33,sum_mod_10
0.019228002056479454,-0.008483201265335083,0,0.0046941908076405525,44,sum_mod_10
0.009810805320739746,-0.014207690954208374,0,-0.003358862828463316,55,sum_mod_10
0.0038420166820287704,-0.014238366857171059,1,-0.005534134339541197,11,sum_mod_10
0.022215472534298897,-0.013630246743559837,1,0.0044244262389838696,22,sum_mod_10
0.0406806580722332,-0.0024390944745391607,1,0.018853235989809036,33,sum_mod_10
0.028730856254696846,-0.008172281086444855,1,0.009662036783993244,44,sum_mod_10
0.015967752784490585,-0.0061330730095505714,1,0.0049539608880877495,55,sum_mod_10
0.016898857429623604,-0.0069029382430016994,2,0.0042868321761488914,11,sum_mod_10
0.03995293378829956,-0.004951633978635073,2,0.015655575320124626,22,sum_mod_10
0.04408734291791916,-0.004497020971029997,2,0.018720656633377075,33,sum_mod_10
0.028232505545020103,0.0033179069869220257,2,0.014630308374762535,44,sum_mod_10
0.018240390345454216,-0.004836436826735735,2,0.0059755947440862656,55,sum_mod_10
0.01784762181341648,-0.02195577695965767,3,-0.00288670533336699,11,sum_mod_10
0.011285672895610332,-0.017466524615883827,3,-0.003654116066172719,22,sum_mod_10
0.01343549694865942,-0.014902693219482899,3,-0.0003120038309134543,33,sum_mod_10
-0.00618735933676362,-0.04298321530222893,3,-0.023331549018621445,44,sum_mod_10
0.006982965860515833,-0.020558681339025497,3,-0.006119021214544773,55,sum_mod_10
