classification,layer,mean_utility,negative_seed_count,repair_rate,seed_ci_high,seed_ci_low,task
useful,0,0.23816876113414764,0,0.0,0.338549941778183,0.15342378616333008,maximum
useful,1,0.2684951722621918,0,0.0,0.4372226595878601,0.09976769983768463,maximum
useful,2,0.18901562690734863,0,0.0,0.25525882840156555,0.1216362714767456,maximum
useful,3,0.19606268405914307,0,0.0,0.27011439204216003,0.1331290751695633,maximum
useful,0,0.20703008770942688,0,0.0,0.2888089418411255,0.12671899795532227,minimum
useful,1,0.21854951977729797,0,0.0,0.36457324028015137,0.10012714564800262,minimum
useful,2,0.23441490530967712,0,0.0,0.3159659206867218,0.15286388993263245,minimum
useful,3,0.13060829043388367,0,0.0,0.16770032048225403,0.09516025334596634,minimum
redundant_or_uncertain,0,0.0005208664806559682,2,0.0,0.006718008778989315,-0.006142111029475927,sum_mod_10
redundant_or_uncertain,1,0.006471904926002026,1,0.0,0.013338516466319561,-0.0005031872424297035,sum_mod_10
useful,2,0.011853793635964394,0,0.0,0.016881605610251427,0.007031031884253025,sum_mod_10
candidate_harmful,3,-0.007260678801685572,4,0.0,-0.002010306576266885,-0.015307093039155006,sum_mod_10
