ci95_high,ci95_low,layer,mean_correct_minus_incorrect,median_correct_minus_incorrect,metric,model_variant,paired_effect_size_dz,raw_n_correct,raw_n_incorrect,seed_n,std_correct_minus_incorrect,task_family,token_bin
0.02436867728829384,-0.023223793134093285,0,-0.002629448426887393,-0.004658259556478916,attention_entropy,baseline,-0.08447334324213965,1544,211,5,0.03112755250316278,maximum,0
0.0,0.0,0,0.0,0.0,attention_evidence_mass,baseline,0.0,1544,211,5,0.0,maximum,0
0.007296663708984852,-0.003396684303879738,0,0.0024468624033033848,0.003588823816671801,candidate_cosine,baseline,0.35883037093543324,1544,211,5,0.006818994715872768,maximum,0
0.002646978246048093,-0.003587160725146532,0,-7.90023259469308e-05,0.0011514279022655227,candidate_dominance,baseline,-0.019608812788761903,1544,211,5,0.004028919384258091,maximum,0
0.003565309103578329,-0.0007141113164834678,0,0.0010894902516156435,0.0006414298446328903,candidate_novelty,baseline,0.37606891116174584,1544,211,5,0.002897049501512923,maximum,0
0.048579733818769455,-0.08055146783590317,0,-0.006425430066883564,0.014110132560085198,candidate_update_norm,baseline,-0.07326456893288003,1544,211,5,0.08770173851387977,maximum,0
0.04857973754405975,-0.08055149018764496,0,-0.006425430066883564,0.01411014977264724,effective_displacement,baseline,-0.07326455234383826,1544,211,5,0.08770175837188418,maximum,0
0.048579733818769455,-0.08055146783590317,0,-0.006425430066883564,0.014110132560085198,effective_update_norm,baseline,-0.07326456893288003,1544,211,5,0.08770173851387977,maximum,0
0.006234047003090382,-0.007961709052324295,0,-0.00013752802624367177,0.0017620418592007026,relative_update_norm,baseline,-0.01549639594809506,1544,211,5,0.008874839459724686,maximum,0
0.0028927503153681755,-0.0022607347927987576,0,4.60761584690772e-05,-0.0003722601518715285,representation_direction_cosine,baseline,0.01330515374355178,1544,211,5,0.003463030894431234,maximum,0
0.03800055384635925,-0.06636635959148407,0,-0.01418290100991726,-0.013777224340847383,residual_norm,baseline,-0.21062517675975928,1544,211,5,0.06733715896696617,maximum,0
0.015370287001132965,-0.02740609273314476,0,-0.005792588926851749,0.001452328291492,attention_entropy,baseline,-0.20979111183442445,1405,195,5,0.027611221830138793,maximum,1
0.006368833128362894,-0.021185824647545815,0,-0.007167689502239227,-0.0040134811023999975,attention_evidence_mass,baseline,-0.39287703728527495,1405,195,5,0.018244103935844542,maximum,1
0.014608570374548435,-0.00721484562382102,0,0.0030780627857893705,0.004716151899525095,candidate_cosine,baseline,0.2097442366546843,1405,195,5,0.014675315207144343,maximum,1
0.0032840557396411896,-0.001682603033259511,0,0.0007230049814097583,-0.0002879846308912193,candidate_dominance,baseline,0.2277743911734291,1405,195,5,0.00317421540536248,maximum,1
0.004838045686483383,-0.001569764455780387,0,0.0016775494441390038,0.0025925087077277587,candidate_novelty,baseline,0.40772825249836636,1405,195,5,0.004114381168976573,maximum,1
0.05814911797642708,-0.020667586475610733,0,0.018740767613053322,0.020753894409123674,candidate_update_norm,baseline,0.37578425783878844,1405,195,5,0.04987108220241923,maximum,1
0.05814912170171738,-0.02066759392619133,0,0.018740763887763023,0.020753898721995512,effective_displacement,baseline,0.3757841341113478,1405,195,5,0.04987108870916298,maximum,1
0.05814911797642708,-0.020667586475610733,0,0.018740767613053322,0.020753894409123674,effective_update_norm,baseline,0.37578425783878844,1405,195,5,0.04987108220241923,maximum,1
0.00658323522657156,-0.0033846094738692045,0,0.001521979458630085,-0.0004346880529608188,relative_update_norm,baseline,0.23742316351447218,1405,195,5,0.006410408471106537,maximum,1
0.001764153130352497,-0.002476175781339407,0,-0.0003765855508390814,0.0002657360264233244,representation_direction_cosine,baseline,-0.13952462733964757,1405,195,5,0.00269906150634147,maximum,1
0.09468501061201096,-0.0847843661904335,0,0.00641217827796936,0.028017005363066616,residual_norm,baseline,0.05563727978344097,1405,195,5,0.11524967257435514,maximum,1
0.025114407762885094,-0.05419037491083145,0,-0.013911810703575611,-0.0038367522661824083,attention_entropy,baseline,-0.2689771205314551,1430,195,5,0.051721167495912414,maximum,2
0.01266842894256115,-0.014247055165469646,0,-0.0003782333806157112,0.0018718634846441318,attention_evidence_mass,baseline,-0.021803596878625545,1430,195,5,0.01734729286737548,maximum,2
0.017024492844939232,-0.015476502478122711,0,0.0007739951834082603,-0.004715676552443093,candidate_cosine,baseline,0.036924456461240436,1430,195,5,0.020961586373538694,maximum,2
0.0027272168081253767,-0.004720354452729225,0,-0.0014922191621735692,-0.002264513772457566,candidate_dominance,baseline,-0.3209878209524923,1430,195,5,0.004648834207309145,maximum,2
0.007229411043226719,-0.003613058477640152,0,0.0018081760499626398,-0.0019482332970550686,candidate_novelty,baseline,0.2527293890506969,1430,195,5,0.00715459352295559,maximum,2
0.05013100430369377,-0.1371871680021286,0,-0.046064071357250214,-0.04594013685941212,candidate_update_norm,baseline,-0.40480717205439765,1430,195,5,0.11379262655717019,maximum,2
0.05013101175427437,-0.13718712329864502,0,-0.04606405645608902,-0.045940128990812124,effective_displacement,baseline,-0.40480708437171703,1430,195,5,0.11379261439454051,maximum,2
0.05013100430369377,-0.1371871680021286,0,-0.046064071357250214,-0.04594013685941212,effective_update_norm,baseline,-0.40480717205439765,1430,195,5,0.11379262655717019,maximum,2
0.0047313557006418705,-0.010133028030395508,0,-0.0032138023525476456,-0.004231679796761201,relative_update_norm,baseline,-0.3621807603715219,1430,195,5,0.008873476187003845,maximum,2
0.002584350062534213,-0.0016672866186127067,0,0.0007424483192153275,0.0013780317365116312,representation_direction_cosine,baseline,0.2838692272204651,1430,195,5,0.002615458979069648,maximum,2
0.029108688235282898,-0.05745791271328926,0,-0.014417494647204876,-0.0007441190251142871,residual_norm,baseline,-0.2415546424997151,1430,195,5,0.05968626600592817,maximum,2
0.024028919637203217,-0.050525687634944916,0,-0.007621341850608587,0.014459480459263041,attention_entropy,baseline,-0.16292343916718346,1339,186,5,0.04677867033476974,maximum,3
0.011363277211785316,-0.012275357730686665,0,-0.0012169848196208477,-0.003027418442163532,attention_evidence_mass,baseline,-0.08496855914540573,1339,186,5,0.014322766348647098,maximum,3
0.021137738600373268,-0.011538585647940636,0,0.006569341756403446,0.016956972408125992,candidate_cosine,baseline,0.32039060871066916,1339,186,5,0.020504164534784892,maximum,3
0.004223153460770845,-0.006071829237043858,0,-0.00048339058412238955,0.001807359362672012,candidate_dominance,baseline,-0.07088822246190768,1339,186,5,0.006819053537167519,maximum,3
0.005254114978015423,-0.0017644461477175355,0,0.002073111943900585,0.0019781941307556172,candidate_novelty,baseline,0.4434177326949183,1339,186,5,0.004675302296326823,maximum,3
0.07661193609237671,-0.14264433085918427,0,-0.03590816631913185,-0.04893325604023602,candidate_update_norm,baseline,-0.2668789702660604,1339,186,5,0.13454850445253827,maximum,3
0.07661192119121552,-0.14264436066150665,0,-0.035908181220293045,-0.04893326611426119,effective_displacement,baseline,-0.2668790796273975,1339,186,5,0.134548505152319,maximum,3
0.07661193609237671,-0.14264433085918427,0,-0.03590816631913185,-0.04893325604023602,effective_update_norm,baseline,-0.2668789702660604,1339,186,5,0.13454850445253827,maximum,3
0.006918276194483042,-0.011645438149571419,0,-0.0013600823003798723,0.0021523558038100687,relative_update_norm,baseline,-0.11065283142865485,1339,186,5,0.012291436945802934,maximum,3
0.004182043485343456,-0.0018988966476172209,0,0.0007414338178932667,-0.0004107556052850292,representation_direction_cosine,baseline,0.18451352946601896,1339,186,5,0.004018316814159762,maximum,3
0.04340864717960358,-0.20438198745250702,0,-0.08048667013645172,-0.04316444953973786,residual_norm,baseline,-0.4877030955405313,1339,186,5,0.1650321084126946,maximum,3
0.0050890082493424416,-0.037187665700912476,0,-0.017574777826666832,-0.01524436444947197,attention_entropy,baseline,-0.6273493396064023,1342,183,5,0.028014340204284286,maximum,4
0.00586151797324419,-0.014832446351647377,0,-0.003968414850533009,0.00018839944709508893,attention_evidence_mass,baseline,-0.30145070242776395,1342,183,5,0.013164390789515416,maximum,4
0.011408712714910507,-0.01650339737534523,0,-0.0024811476469039917,-0.008820144706188388,candidate_cosine,baseline,-0.13306852902956595,1342,183,5,0.018645638191076085,maximum,4
0.0022415316198021173,-0.006967107765376568,0,-0.0021942593157291412,-0.002638526585660106,candidate_dominance,baseline,-0.35602699752868056,1342,183,5,0.006163182373697314,maximum,4
