ci95_high,ci95_low,layer,mean,median,metric,model_variant,seed_n,std,task_family
2.7770917415618896,2.546767473220825,0,2.653597593307495,2.646323719632969,attention_entropy,baseline,5,0.14669015595918855,maximum
0.23578624427318573,0.13349780440330505,0,0.18331678211688995,0.15972404865920545,attention_evidence_mass,baseline,5,0.06472939968381458,maximum
-0.25875094532966614,-0.30318284034729004,0,-0.2821057140827179,-0.28283233262983887,candidate_cosine,baseline,5,0.028524363945240414,maximum
0.3053347170352936,0.2673051059246063,0,0.28725194931030273,0.29397047105534324,candidate_dominance,baseline,5,0.024225595921183184,maximum
0.9114142656326294,0.8815631866455078,0,0.8938525915145874,0.8894343173195576,candidate_novelty,baseline,5,0.019222099900860812,maximum
4.924901008605957,4.1921491622924805,0,4.581353187561035,4.811172042862844,candidate_update_norm,baseline,5,0.49082736105889996,maximum
4.924901485443115,4.139779090881348,0,4.581353187561035,4.811172035791106,effective_displacement,baseline,5,0.4908273617469439,maximum
4.924901485443115,4.144600868225098,0,4.581353187561035,4.811172042862844,effective_update_norm,baseline,5,0.49082736105889996,maximum
0.4550601840019226,0.3830983638763428,0,0.4190793037414551,0.43735215992763127,relative_update_norm,baseline,5,0.04900996370180383,maximum
0.9169002771377563,0.8816244006156921,0,0.8982164263725281,0.891095579933312,representation_direction_cosine,baseline,5,0.022770585924638827,maximum
11.300973892211914,10.930620193481445,0,11.11579704284668,11.04360428098905,residual_norm,baseline,5,0.243045158468684,maximum
2.8504691123962402,2.5404257774353027,1,2.683717966079712,2.617542919798643,attention_entropy,baseline,5,0.2009089457341922,maximum
0.2407432496547699,0.16763845086097717,1,0.19714298844337463,0.18274134179127627,attention_evidence_mass,baseline,5,0.048343373355538566,maximum
-0.09649239480495453,-0.1773042380809784,1,-0.13991762697696686,-0.16465673916009738,candidate_cosine,baseline,5,0.05267109104310239,maximum
0.2982040047645569,0.28217703104019165,1,0.2896198332309723,0.28665901527836407,candidate_dominance,baseline,5,0.01027105798640242,maximum
0.9666654467582703,0.9439871907234192,1,0.9553211331367493,0.9515573433760939,candidate_novelty,baseline,5,0.015156569982467696,maximum
4.769460678100586,4.223144054412842,1,4.489502906799316,4.4847493274458525,candidate_update_norm,baseline,5,0.36031232209869746,maximum
4.769461154937744,4.209545135498047,1,4.489502906799316,4.484749322307521,effective_displacement,baseline,5,0.36031232031950505,maximum
4.769543647766113,4.209545135498047,1,4.489502906799316,4.4847493274458525,effective_update_norm,baseline,5,0.36031232209869746,maximum
0.45905858278274536,0.40733975172042847,1,0.43083566427230835,0.4258855314090334,relative_update_norm,baseline,5,0.030708595786828143,maximum
0.9156984090805054,0.8809207677841187,1,0.898309588432312,0.8976285162157026,representation_direction_cosine,baseline,5,0.0224362814625957,maximum
10.90423583984375,10.573925018310547,1,10.73876667022705,10.74805269516054,residual_norm,baseline,5,0.2097724366385986,maximum
2.5899415016174316,2.2524757385253906,2,2.4264495372772217,2.534571472426941,attention_entropy,baseline,5,0.21698059930436578,maximum
0.42156916856765747,0.2449633628129959,2,0.32718807458877563,0.3135498694047846,attention_evidence_mass,baseline,5,0.10659954501920227,maximum
0.10062956809997559,0.03778976947069168,2,0.06757169216871262,0.06307823147333454,candidate_cosine,baseline,5,0.03888234643720008,maximum
0.34651705622673035,0.305532842874527,2,0.32617518305778503,0.3394323177004265,candidate_dominance,baseline,5,0.02745278059679673,maximum
0.9750369191169739,0.9697788953781128,2,0.9721142649650574,0.9713562960560257,candidate_novelty,baseline,5,0.0035109569707846206,maximum
6.280343055725098,5.046326160430908,2,5.674656867980957,5.852664073944092,candidate_update_norm,baseline,5,0.8277825044335609,maximum
6.28115177154541,5.046326637268066,2,5.674656867980957,5.852664059638977,effective_displacement,baseline,5,0.8277825010430327,maximum
6.28115177154541,5.046326637268066,2,5.674656867980957,5.852664073944092,effective_update_norm,baseline,5,0.8277825044335609,maximum
0.5829380750656128,0.4609457850456238,2,0.5229921340942383,0.5475314222574234,relative_update_norm,baseline,5,0.08067014166419298,maximum
0.9117830991744995,0.8783175349235535,2,0.8950504064559937,0.8884290911383548,representation_direction_cosine,baseline,5,0.02177497132918794,maximum
11.228799819946289,11.005067825317383,2,11.116506576538086,11.113866382890993,residual_norm,baseline,5,0.1413241650660257,maximum
2.628859281539917,1.812435507774353,3,2.2206473350524902,2.462453119058177,attention_entropy,baseline,5,0.5295239770770223,maximum
0.5126382112503052,0.2463945895433426,3,0.37960466742515564,0.38233918845346926,attention_evidence_mass,baseline,5,0.16811852164568053,maximum
0.19561901688575745,0.12620161473751068,3,0.16322502493858337,0.16330168109734433,candidate_cosine,baseline,5,0.041933320741772834,maximum
0.35842353105545044,0.29428717494010925,3,0.32864776253700256,0.3350709927548106,candidate_dominance,baseline,5,0.040866176815782515,maximum
0.9525073766708374,0.9310901761054993,3,0.9417988061904907,0.9467174716897913,candidate_novelty,baseline,5,0.013717285162036815,maximum
7.5603485107421875,5.720941066741943,3,6.5927252769470215,6.391038575780735,candidate_update_norm,baseline,5,1.174042323379084,maximum
7.465048789978027,5.752463340759277,3,6.5927252769470215,6.391038563025831,effective_displacement,baseline,5,1.1740423385535934,maximum
7.4878830909729,5.720940589904785,3,6.5927252769470215,6.391038575780735,effective_update_norm,baseline,5,1.174042323379084,maximum
0.5773141980171204,0.4312745928764343,3,0.5092396140098572,0.5172806295102516,relative_update_norm,baseline,5,0.09391604080653307,maximum
0.9296694993972778,0.8892305493354797,3,0.9093466997146606,0.9089677255340074,representation_direction_cosine,baseline,5,0.025133430237761,maximum
13.692270278930664,12.530797958374023,3,13.066656112670898,12.825885417938233,residual_norm,baseline,5,0.7305280685267707,maximum
2.749429702758789,2.512646198272705,0,2.644200563430786,2.66736450766315,attention_entropy,baseline,5,0.14578288156453362,minimum
0.23165221512317657,0.15171562135219574,0,0.19168391823768616,0.1721640708149639,attention_evidence_mass,baseline,5,0.056223268796321536,minimum
-0.2552701532840729,-0.3074313998222351,0,-0.28219372034072876,-0.283172951070684,candidate_cosine,baseline,5,0.031088912900993512,minimum
0.29667648673057556,0.2659565508365631,0,0.28125283122062683,0.28994363177530835,candidate_dominance,baseline,5,0.020370729690834304,minimum
0.9115180969238281,0.8776426911354065,0,0.8920893669128418,0.886842176384396,candidate_novelty,baseline,5,0.021540177684549414,minimum
4.736563682556152,4.143990516662598,0,4.440276622772217,4.567491324821321,candidate_update_norm,baseline,5,0.37766050417901065,minimum
4.736563682556152,4.143990516662598,0,4.440276622772217,4.567491301215521,effective_displacement,baseline,5,0.37766050824378183,minimum
4.736563682556152,4.143990516662598,0,4.440276622772217,4.567491324821321,effective_update_norm,baseline,5,0.37766050417901065,minimum
0.43688759207725525,0.37432998418807983,0,0.40560880303382874,0.4187439085528402,relative_update_norm,baseline,5,0.04017595898558706,minimum
0.9195222854614258,0.8903660774230957,0,0.904944121837616,0.9009706425194693,representation_direction_cosine,baseline,5,0.018542595881800024,minimum
11.302151679992676,10.947585105895996,0,11.131962776184082,11.099081725019463,residual_norm,baseline,5,0.22546421521986987,minimum
2.78730845451355,2.4632954597473145,1,2.6013925075531006,2.6284485223914396,attention_entropy,baseline,5,0.1918163430640144,minimum
0.2615084648132324,0.16275976598262787,1,0.21100983023643494,0.2001795886757494,attention_evidence_mass,baseline,5,0.06341370272111707,minimum
