layer_i,layer_j,matrix,model_variant,run_id,seed,source_experiment,task_family,token_scope,value
0,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8483548164367676
0,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.5485172271728516
0,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.3936327397823334
1,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8483548164367676
1,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
1,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7312211990356445
1,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.5926126837730408
2,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.5485172271728516
2,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7312211990356445
2,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
2,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8983809947967529
3,0,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.3936326503753662
3,1,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.5926126837730408
3,2,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8983809947967529
3,3,residual_state_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,0,update_cka,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
