attention_head_observations_computed,attention_summary_rows_persisted,checkpoint,checkpoint_sha256,cycle,depth,device,elapsed_seconds,experiment,model_family,model_variant,residual_observations_computed,residual_rows_persisted,revision,run_id,seed,source_commit,source_cycle,source_experiment,task_family,test_accuracy,test_examples,width
153712,6720,results/e4/runs/goal/seed-22/model.pt,de2ade76c705eab794225a5633d2e437eb2ebf729f12ba5248e835e1cca10cf4,B,4,cuda,41.86741010006517,B1,tiny_custom_transformer,goal,38428,1080,1,cycleA-e4-goal-seed-22,22,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.6148148148148148,270,64
153712,6720,results/e4/runs/goal/seed-33/model.pt,2f8cc04fb46c6992a1163c78bf49a7a78438d50f9805dfdb9de08c0e05f68144,B,4,cuda,41.96333030005917,B1,tiny_custom_transformer,goal,38428,1080,1,cycleA-e4-goal-seed-33,33,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.6185185185185185,270,64
153712,6720,results/e4/runs/goal/seed-44/model.pt,0eb99833f7ce2310773ad4aacf114ccc1d0e42ad18d2f451b9455e24060e88e4,B,4,cuda,40.087000800063834,B1,tiny_custom_transformer,goal,38428,1080,1,cycleA-e4-goal-seed-44,44,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.6,270,64
153712,6720,results/e4/runs/goal/seed-55/model.pt,3609cb14b3a5b1402e1315835e17dd159d6021242abb5a5138790b0eb16587fa,B,4,cuda,38.86935990001075,B1,tiny_custom_transformer,goal,38428,1080,1,cycleA-e4-goal-seed-55,55,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.5888888888888889,270,64
153712,6720,results/e4/runs/goal_only/seed-11/model.pt,a600f671d50ea905af8c18ee349ae6d896d46cbbe40379806ca3602e935a9807,B,4,cuda,39.4868343998678,B1,tiny_custom_transformer,goal_only,38428,1080,1,cycleA-e4-goal_only-seed-11,11,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.5555555555555556,270,64
153712,6720,results/e4/runs/goal_only/seed-22/model.pt,85cc1223e6c5ebd93fcf7e140ba0124a7bf47a82e7c53e31d93bef1fa2d9fce6,B,4,cuda,38.779795200098306,B1,tiny_custom_transformer,goal_only,38428,1080,1,cycleA-e4-goal_only-seed-22,22,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.5481481481481482,270,64
153712,6720,results/e4/runs/goal_only/seed-33/model.pt,870441b5d4b128ac4cda7231284c856320aabc04ff2f003d42d8b2b9490387de,B,4,cuda,39.38692449987866,B1,tiny_custom_transformer,goal_only,38428,1080,1,cycleA-e4-goal_only-seed-33,33,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.5888888888888889,270,64
153712,6720,results/e4/runs/goal_only/seed-44/model.pt,c966d1e4ef8411060f2dc79a3bdd5f23e2babdab8e6fe18e050be4e0b89746f2,B,4,cuda,39.827198800165206,B1,tiny_custom_transformer,goal_only,38428,1080,1,cycleA-e4-goal_only-seed-44,44,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.4925925925925926,270,64
153712,6720,results/e4/runs/goal_only/seed-55/model.pt,470f64090a244865d7deaeb87feb769fe37a0a1221f93a404033b7b9330ef1b0,B,4,cuda,37.71213720017113,B1,tiny_custom_transformer,goal_only,38428,1080,1,cycleA-e4-goal_only-seed-55,55,c0dd6765329c25be9db1249a8533178a94fda91d,A,E4,synthetic_counterfactual_v1,0.5481481481481482,270,64
153712,6720,results/e5/runs/seed-11/model.pt,1ca011f8c76e2b94ad56c0519988c71fe70f454445fc7cc6e07b5754d249ab9f,B,4,cuda,37.2711012000218,B1,tiny_custom_transformer,goal_gated,38428,1080,1,cycleA-e5-goal_gated-seed-11,11,c0dd6765329c25be9db1249a8533178a94fda91d,A,E5,synthetic_counterfactual_v1,0.5407407407407407,270,64
153712,6720,results/e5/runs/seed-22/model.pt,4d658f422b55287485b446e456df336ef36a22cfbcebb1b6fa59c306ca70a65e,B,4,cuda,36.37360700010322,B1,tiny_custom_transformer,goal_gated,38428,1080,1,cycleA-e5-goal_gated-seed-22,22,c0dd6765329c25be9db1249a8533178a94fda91d,A,E5,synthetic_counterfactual_v1,0.6296296296296297,270,64
153712,6720,results/e5/runs/seed-33/model.pt,047e561a6fc24a7d93f18659e2d297460881c41a724b4fcdeb22ed235887c0ab,B,4,cuda,36.36691450001672,B1,tiny_custom_transformer,goal_gated,38428,1080,1,cycleA-e5-goal_gated-seed-33,33,c0dd6765329c25be9db1249a8533178a94fda91d,A,E5,synthetic_counterfactual_v1,0.6296296296296297,270,64
153712,6720,results/e5/runs/seed-44/model.pt,cdffe2aa338ef27abec2acc4bbea6bc7ae6fd6520201b056dec226c64af50f60,B,4,cuda,37.031760199926794,B1,tiny_custom_transformer,goal_gated,38428,1080,1,cycleA-e5-goal_gated-seed-44,44,c0dd6765329c25be9db1249a8533178a94fda91d,A,E5,synthetic_counterfactual_v1,0.6,270,64
153712,6720,results/e5/runs/seed-55/model.pt,16369b639dae8852f67332224e84708f5a644bac2389c86fa33787d944674dd7,B,4,cuda,36.49761489988305,B1,tiny_custom_transformer,goal_gated,38428,1080,1,cycleA-e5-goal_gated-seed-55,55,c0dd6765329c25be9db1249a8533178a94fda91d,A,E5,synthetic_counterfactual_v1,0.5925925925925926,270,64
