accuracy,condition,distractor_False_accuracy,distractor_True_accuracy,loss,milliseconds_per_example,perplexity,seed,task_maximum_accuracy,task_minimum_accuracy,task_sum_mod_10_accuracy,variant
0.5703703703703704,native,0.5563380281690141,0.5859375,1.4293289890995733,0.19631259277014546,4.175896179746896,11,0.8333333333333334,0.8,0.07777777777777778,matched_baseline
0.6148148148148148,native,0.5985915492957746,0.6328125,1.2954264181631583,0.201643981617289,3.6525531571202206,22,0.8555555555555555,0.8555555555555555,0.13333333333333333,matched_baseline
0.6333333333333333,native,0.6267605633802817,0.640625,1.3190563484474465,0.19799574079957824,3.7398905580598685,33,0.9,0.9,0.1,matched_baseline
0.662962962962963,native,0.6549295774647887,0.671875,1.197650400797526,0.2012301850805266,3.3123251360352963,44,0.9333333333333333,0.9666666666666667,0.08888888888888889,matched_baseline
0.5777777777777777,native,0.5704225352112676,0.5859375,1.3581718727394387,0.19923833336819102,3.889077071277187,55,0.8777777777777778,0.7666666666666667,0.08888888888888889,matched_baseline
0.5703703703703704,native,0.5563380281690141,0.5859375,1.4318306605021158,0.22316046287650587,4.186355977833533,11,0.8444444444444444,0.8,0.06666666666666667,gated
0.5703703703703704,forced_open,0.5563380281690141,0.5859375,1.4321787374990957,0.18977287044334742,4.187813405684426,11,0.8444444444444444,0.8,0.06666666666666667,gated
0.5703703703703704,shuffled,0.5563380281690141,0.5859375,1.4312840355767145,,4.184068236634592,11,0.8444444444444444,0.8,0.06666666666666667,gated
0.5703703703703704,random_skip,0.5492957746478874,0.59375,1.4382348166571723,,4.213252086752375,11,0.8333333333333334,0.8,0.07777777777777778,gated
0.5703703703703704,static_task,0.5563380281690141,0.5859375,1.4307151088008174,,4.181688485198935,11,0.8444444444444444,0.8,0.06666666666666667,gated
0.5703703703703704,candidate_norm,0.5563380281690141,0.5859375,1.4318974600897896,,4.186635634027063,11,0.8444444444444444,0.8,0.06666666666666667,gated
0.5703703703703704,residual_norm,0.5563380281690141,0.5859375,1.4304584361888744,,4.180615298027876,11,0.8444444444444444,0.8,0.06666666666666667,gated
0.6111111111111112,native,0.5774647887323944,0.6484375,1.2789115199336298,0.19971879643250118,3.5927269847785763,22,0.8555555555555555,0.8333333333333334,0.14444444444444443,gated
0.6111111111111112,forced_open,0.5774647887323944,0.6484375,1.2772582583957248,0.19101277791412064,3.5867921746868663,22,0.8555555555555555,0.8333333333333334,0.14444444444444443,gated
0.6074074074074074,shuffled,0.5704225352112676,0.6484375,1.2790983412000867,,3.5933982452848228,22,0.8555555555555555,0.8222222222222222,0.14444444444444443,gated
0.5962962962962963,random_skip,0.5633802816901409,0.6328125,1.3193471555356626,,3.740978302897594,22,0.8555555555555555,0.8,0.13333333333333333,gated
0.6111111111111112,static_task,0.5774647887323944,0.6484375,1.2794906474925853,,3.594808234583655,22,0.8555555555555555,0.8333333333333334,0.14444444444444443,gated
0.6111111111111112,candidate_norm,0.5774647887323944,0.6484375,1.2784727379127785,,3.5911509065745046,22,0.8555555555555555,0.8333333333333334,0.14444444444444443,gated
0.6111111111111112,residual_norm,0.5774647887323944,0.6484375,1.2797168166549118,,3.5956213612994232,22,0.8555555555555555,0.8333333333333334,0.14444444444444443,gated
0.6407407407407407,native,0.6408450704225352,0.640625,1.3057854122585721,0.21325259240930555,3.6905865876396944,33,0.9222222222222223,0.8777777777777778,0.12222222222222222,gated
0.6444444444444445,forced_open,0.6408450704225352,0.6484375,1.30532248461688,0.19812074067347027,3.688878508483249,33,0.9222222222222223,0.8888888888888888,0.12222222222222222,gated
0.6407407407407407,shuffled,0.6408450704225352,0.640625,1.305673415572555,,3.690173277317544,33,0.9111111111111111,0.8888888888888888,0.12222222222222222,gated
0.6333333333333333,random_skip,0.6338028169014085,0.6328125,1.3512500551011828,,3.8622505402946734,33,0.8888888888888888,0.8888888888888888,0.12222222222222222,gated
0.6407407407407407,static_task,0.6408450704225352,0.640625,1.3057790403012877,,3.6905630714545254,33,0.9222222222222223,0.8777777777777778,0.12222222222222222,gated
0.6407407407407407,candidate_norm,0.6408450704225352,0.640625,1.3055296791924371,,3.68964290328659,33,0.9222222222222223,0.8777777777777778,0.12222222222222222,gated
0.6407407407407407,residual_norm,0.6408450704225352,0.640625,1.3053242294876664,,3.6888849451052086,33,0.9222222222222223,0.8777777777777778,0.12222222222222222,gated
0.6481481481481481,native,0.6408450704225352,0.65625,1.246111806233724,0.20376277777055898,3.4767981771618555,44,0.9,0.9333333333333333,0.1111111111111111,gated
0.6407407407407407,forced_open,0.6338028169014085,0.6484375,1.245887530291522,0.19319425919093192,3.4760185024092394,44,0.8888888888888888,0.9222222222222223,0.1111111111111111,gated
0.6444444444444445,shuffled,0.6338028169014085,0.65625,1.2489309522840712,,3.4866136080767576,44,0.8888888888888888,0.9333333333333333,0.1111111111111111,gated
0.6296296296296297,random_skip,0.6267605633802817,0.6328125,1.2698972207528574,,3.5604865994169956,44,0.8777777777777778,0.9111111111111111,0.1,gated
0.6481481481481481,static_task,0.6408450704225352,0.65625,1.2448136364972149,,3.4722876313487965,44,0.9,0.9333333333333333,0.1111111111111111,gated
0.6444444444444445,candidate_norm,0.6338028169014085,0.65625,1.2476941567880135,,3.4823040456428473,44,0.8888888888888888,0.9333333333333333,0.1111111111111111,gated
0.6481481481481481,residual_norm,0.6408450704225352,0.65625,1.2475889205932618,,3.4819376004980995,44,0.9,0.9333333333333333,0.1111111111111111,gated
0.5925925925925926,native,0.5774647887323944,0.609375,1.3409217834472655,0.20214712950056074,3.8225654594440757,55,0.9111111111111111,0.7777777777777778,0.08888888888888889,gated
0.5925925925925926,forced_open,0.5774647887323944,0.609375,1.3422304294727467,0.19511388899344537,3.8275711191436823,55,0.9111111111111111,0.7777777777777778,0.08888888888888889,gated
0.5925925925925926,shuffled,0.5774647887323944,0.609375,1.3416501080548322,,3.8253505420312006,55,0.9111111111111111,0.7777777777777778,0.08888888888888889,gated
0.5925925925925926,random_skip,0.5774647887323944,0.609375,1.3511118359035916,,3.861716740015671,55,0.9111111111111111,0.7777777777777778,0.08888888888888889,gated
0.5925925925925926,static_task,0.5774647887323944,0.609375,1.3402521274707935,,3.8200065125413745,55,0.9111111111111111,0.7777777777777778,0.08888888888888889,gated
0.5925925925925926,candidate_norm,0.5774647887323944,0.609375,1.3413997932716653,,3.8243931200731685,55,0.9111111111111111,0.7777777777777778,0.08888888888888889,gated
0.5962962962962963,residual_norm,0.5845070422535211,0.609375,1.3399188995361329,,3.8187337917256516,55,0.9111111111111111,0.7888888888888889,0.08888888888888889,gated
