condition,mean_accuracy,mean_loss,mean_ms_per_example,seed_ci_high,seed_ci_low,variant
candidate_norm,0.6118518710136414,1.320998765450937,nan,0.636296272277832,0.5874074101448059,gated
forced_open,0.6118518710136414,1.3205754880551939,0.19344290744306314,0.636296272277832,0.5874074101448059,gated
native,0.6125925779342651,1.3207122364750614,0.20840835179788644,0.637055516242981,0.5888888835906982,gated
random_skip,0.6044443845748901,1.3459682167900933,nan,0.6244444251060486,0.5844444036483765,gated
residual_norm,0.6133333444595337,1.3206014604921694,nan,0.6377776861190796,0.5888888835906982,gated
shuffled,0.611111044883728,1.3213273705376518,nan,0.6355555653572083,0.5866667032241821,gated
static_task,0.6125925779342651,1.3202101121125396,nan,0.6377777457237244,0.5873888731002808,gated
native,0.6118518710136414,1.3199268058494285,0.19928416672714605,0.6437036991119385,0.5822222828865051,matched_baseline
