attention_ff_cancellation_ci95_high,attention_ff_cancellation_ci95_low,attention_ff_cancellation_mean,attention_ff_cancellation_median,attention_ff_cancellation_std,attention_ff_cosine_ci95_high,attention_ff_cosine_ci95_low,attention_ff_cosine_mean,attention_ff_cosine_median,attention_ff_cosine_std,intra_block_repair_candidate,layer,seed_n,specialization,task_family,utility_block_ci95_high,utility_block_ci95_low,utility_block_mean,utility_block_median,utility_block_std,utility_ff_ci95_high,utility_ff_ci95_low,utility_ff_mean,utility_ff_median,utility_ff_std,utility_random_ff_ci95_high,utility_random_ff_ci95_low,utility_random_ff_mean,utility_random_ff_median,utility_random_ff_std,utility_random_sa_ci95_high,utility_random_sa_ci95_low,utility_random_sa_mean,utility_random_sa_median,utility_random_sa_std,utility_sa_ci95_high,utility_sa_ci95_low,utility_sa_mean,utility_sa_median,utility_sa_minus_ff_ci95_high,utility_sa_minus_ff_ci95_low,utility_sa_minus_ff_mean,utility_sa_minus_ff_median,utility_sa_minus_ff_std,utility_sa_std
0.23365473747253418,0.21075038611888885,0.22093553841114044,0.2182254950205485,0.01514964278048286,0.19206559658050537,0.09801854193210602,0.15451742708683014,0.17548544050918685,0.06309550339971308,False,0,5,SA_more_useful,maximum,0.9281789064407349,0.33393916487693787,0.5950589179992676,0.4682888844774829,0.38348139319791463,0.1509917825460434,0.06953238695859909,0.10400843620300293,0.07694414084156355,0.053362945675305265,0.3499399721622467,0.1621447056531906,0.23927155137062073,0.18434054710798795,0.127458524749068,0.9662938117980957,0.2715190052986145,0.6189063787460327,0.5632257002923223,0.44889488088628543,0.9698213338851929,0.1485895812511444,0.5199791789054871,0.32163674843808016,0.8905357122421265,0.03306815028190613,0.41597074270248413,0.15936343723701107,0.5363229891757864,0.5146497313792888
0.24415123462677002,0.21289125084877014,0.2285212278366089,0.2194838417900933,0.020180657546345394,0.1602613627910614,0.054124414920806885,0.09987892210483551,0.07104882159166866,0.06772342809522748,False,1,5,not_replicated,maximum,1.7448498010635376,0.29488781094551086,1.0198687314987183,0.9352973172648086,0.9608100177547324,0.119307741522789,0.05544621869921684,0.08737698197364807,0.09194844431347317,0.04174738347987421,0.179861381649971,0.11769624799489975,0.14937201142311096,0.1678319803542561,0.04042722366004124,1.6307998895645142,0.3494918942451477,0.9901458621025085,1.3059507717688879,0.8328806315085939,1.8209922313690186,0.31550830602645874,1.0659542083740234,1.3800491253534952,1.7807228565216064,0.2313784807920456,0.9785772562026978,1.288100681040022,0.9694628296455957,0.9822874962785261
0.21462364494800568,0.17113474011421204,0.19337275624275208,0.19347011711862352,0.02864177012269305,0.286276251077652,0.14531035721302032,0.2055760622024536,0.17724859626549813,0.09232425660981178,False,2,5,SA_more_useful,maximum,0.6934777498245239,0.29085952043533325,0.485388845205307,0.49259532971514597,0.26346847554759545,0.0617981031537056,0.04828082397580147,0.05327432230114937,0.049794598089324106,0.00932380129058101,0.10698090493679047,0.08279800415039062,0.09473872929811478,0.09917051788005564,0.016358151904087966,0.8270222544670105,0.3605270981788635,0.6005247831344604,0.6817667940424548,0.30651678057661635,0.7311375141143799,0.24552690982818604,0.47936734557151794,0.5447491162767013,0.680823802947998,0.18805602192878723,0.4260930120944977,0.4949545181873772,0.31132872709441106,0.30632330691322157
0.22252607345581055,0.17463621497154236,0.19569893181324005,0.18508010837766858,0.03216742440514674,0.3206910490989685,0.16969998180866241,0.25743260979652405,0.26927822689629266,0.09937718424152482,False,3,5,SA_more_useful,maximum,0.6126983761787415,0.3015287518501282,0.44827693700790405,0.41001808299786513,0.19813451946922503,0.07633670419454575,0.06752225011587143,0.07227568328380585,0.07517861384484503,0.005551613298128368,0.12653949856758118,0.10243520885705948,0.11285147815942764,0.10871114172041416,0.015288202404516945,0.6627292633056641,0.2968220114707947,0.46474677324295044,0.48256728280749583,0.23694414751083417,0.5380399823188782,0.2284582108259201,0.36989524960517883,0.3236268498003483,0.4626925587654114,0.1610516607761383,0.2976195216178894,0.2492646243837145,0.190185468317442,0.19453547727811116
0.24916696548461914,0.21097950637340546,0.23032553493976593,0.22593531078762477,0.02533220639327211,0.20833535492420197,0.09494363516569138,0.1517372727394104,0.15630057375464174,0.07298946276157404,False,0,5,SA_more_useful,minimum,0.7204221487045288,0.2469005584716797,0.48360690474510193,0.41947639708717666,0.3013595912826627,0.1612096130847931,0.04207529500126839,0.09352947026491165,0.0830158219155338,0.07901986947318058,0.3288140892982483,0.11061213165521622,0.19746236503124237,0.12061020065512922,0.14231543199453353,0.7451931238174438,0.2744889259338379,0.48223429918289185,0.4526277432425155,0.299807322844753,0.5946165323257446,0.18016621470451355,0.3693903088569641,0.3125962505324019,0.5484040975570679,0.06158576160669327,0.27586081624031067,0.21837712166210013,0.31169338187093304,0.279028430836636
0.24502821266651154,0.20946697890758514,0.22730842232704163,0.22638008395830791,0.02367605287073882,0.19136425852775574,0.045528192073106766,0.1208035796880722,0.0971666033172773,0.09218749171052493,False,1,5,SA_more_useful,minimum,0.9664953351020813,0.21117115020751953,0.5676323175430298,0.4756829599125518,0.48700473263833005,0.09560778737068176,0.019461821764707565,0.059771645814180374,0.07265749598542849,0.04817431643582239,0.17175137996673584,0.06730414927005768,0.12093615531921387,0.1323809971825944,0.06826580993035848,1.0571975708007812,0.23602941632270813,0.6100491285324097,0.36258734112812413,0.5490298774478138,0.9587494730949402,0.14916488528251648,0.5164146423339844,0.32793685864243244,0.8932507634162903,0.07344440370798111,0.4566430151462555,0.2383995675378376,0.5355590952260002,0.5297934614660876
0.22610673308372498,0.18877413868904114,0.2080659121274948,0.2152664217684004,0.02419293719775019,0.21060287952423096,0.08918730169534683,0.14831335842609406,0.1309952885740333,0.07805019079940016,False,2,5,SA_more_useful,minimum,0.8040606379508972,0.3552679717540741,0.5790346264839172,0.51714983491434,0.29009433972612053,0.05030238628387451,0.03698311001062393,0.04348985478281975,0.045007532545261915,0.00862436466780161,0.08388753235340118,0.0471707321703434,0.0672840029001236,0.07945235561993387,0.024115515229363102,1.0007059574127197,0.41010594367980957,0.7090509533882141,0.7365156835979886,0.3852157179406965,0.8046125173568726,0.31382036209106445,0.5690793395042419,0.589831268042326,0.7562397718429565,0.28442320227622986,0.5255894064903259,0.5544720361216201,0.3066195494232384,0.31086044565151827
0.2441699057817459,0.18564002215862274,0.21490497887134552,0.21008393168449402,0.03824579997383403,0.27572008967399597,0.10429795831441879,0.19177167117595673,0.20722804456535313,0.1112169216226833,False,3,5,SA_more_useful,minimum,0.4062441885471344,0.21586765348911285,0.3070775866508484,0.2666687943869167,0.12271636586692927,0.10039140284061432,0.061498720198869705,0.0801474004983902,0.0748678618007236,0.02519648698093543,0.14976942539215088,0.07144007831811905,0.10399536043405533,0.0871390281452073,0.05127217904334114,0.4490024447441101,0.2200293093919754,0.32960376143455505,0.2413748696446419,0.14755011027621595,0.3144894242286682,0.13716331124305725,0.22582635283470154,0.18522079322073196,0.24636587500572205,0.04499203711748123,0.14567896723747253,0.08658094927668572,0.13222235221892792,0.11600693720124569
0.22984838485717773,0.2166181355714798,0.22246888279914856,0.2188643409146203,0.008288511112740352,0.19816696643829346,0.16695936024188995,0.18337762355804443,0.19084409181442524,0.01972565700365922,False,0,5,FF_more_useful,sum_mod_10,-0.06215386465191841,-0.20409074425697327,-0.13606615364551544,-0.15610112183623845,0.09069449370993964,0.06219595670700073,-0.03226729482412338,0.01570521853864193,0.03259332146909502,0.06434074274823019,0.06035976484417915,-0.03868354856967926,0.0096498504281044,0.00940818554825253,0.0601586350452076,-0.12741316854953766,-0.2442760020494461,-0.1841660439968109,-0.204986325568623,0.08045549903811045,-0.10496282577514648,-0.198552206158638,-0.15387797355651855,-0.15054563217692904,-0.10984480381011963,-0.22932156920433044,-0.16958320140838623,-0.15919275979201,0.07496351526935198,0.061539559684359334
0.24804024398326874,0.19893869757652283,0.22308588027954102,0.2305962344010671,0.03216325993929946,0.246841698884964,0.08137036859989166,0.16612932085990906,0.1613689332579573,0.10333907892770093,False,1,5,not_replicated,sum_mod_10,0.14849697053432465,-0.018526200205087662,0.06498537957668304,0.0613687922557195,0.10567351632763489,0.07707808166742325,0.012629242613911629,0.042206376791000366,0.03534295161565145,0.04150889228875521,0.07771269232034683,0.010347898118197918,0.042872145771980286,0.030855607324176363,0.0448815781662882,0.08649994432926178,-0.09595225006341934,-0.005892935208976269,-0.07469288839234246,0.11998510572880519,0.12376125156879425,-0.049593210220336914,0.027729129418730736,-0.02567135857211219,0.07948914170265198,-0.10935531556606293,-0.014477248303592205,-0.04293652971585592,0.11642269047296094,0.10934379760578833
