attention_ff_cancellation,attention_ff_cosine,cycle,depth,example_id,experiment,full_correct,full_target_logprob,layer,model_family,model_variant,random_ff_correct,random_sa_correct,revision,run_id,seed,skip_block_correct,skip_ff_correct,skip_sa_correct,source_cycle,source_experiment,task_family,utility_block,utility_ff,utility_random_ff,utility_random_sa,utility_sa,width
0.18807578086853027,0.2682964503765106,B,4,family-00300-maximum,B2,False,-1.7565892934799194,0,tiny_custom_transformer,baseline,False,True,1,cycleA-e1-baseline-seed-11,11,False,False,True,A,E1,maximum,-0.08754408359527588,0.7968388795852661,1.1630891561508179,-0.6114940643310547,-0.6597613096237183,64
0.2329709529876709,0.17652954161167145,B,4,family-00300-maximum,B2,False,-1.7565892934799194,1,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,maximum,0.49999725818634033,-0.13054096698760986,-0.05407428741455078,1.124388337135315,0.727047324180603,64
0.15823334455490112,0.37223777174949646,B,4,family-00300-maximum,B2,False,-1.7565892934799194,2,tiny_custom_transformer,baseline,False,True,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,maximum,-0.1265174150466919,-0.0654975175857544,-0.14452826976776123,-0.3136793375015259,-0.3869081735610962,64
0.12849664688110352,0.5183570384979248,B,4,family-00300-maximum,B2,False,-1.7565892934799194,3,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,maximum,0.9276491403579712,0.21942651271820068,-0.024747729301452637,0.16202068328857422,0.46602141857147217,64
0.19546473026275635,0.26426056027412415,B,4,family-00300-minimum,B2,True,-0.22820673882961273,0,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,0.6119264364242554,0.15336857736110687,0.19203706085681915,0.41029876470565796,0.41580647230148315,64
0.22357839345932007,0.12296595424413681,B,4,family-00300-minimum,B2,True,-0.22820673882961273,1,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,0.010481461882591248,0.026438787579536438,0.042106226086616516,0.01881219446659088,-0.012224346399307251,64
0.19534891843795776,0.25160154700279236,B,4,family-00300-minimum,B2,True,-0.22820673882961273,2,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,0.05628989636898041,-0.009064018726348877,0.011034831404685974,0.23747877776622772,0.059790924191474915,64
0.2388889193534851,0.11075398325920105,B,4,family-00300-minimum,B2,True,-0.22820673882961273,3,tiny_custom_transformer,baseline,True,True,1,cycleA-e1-baseline-seed-11,11,True,True,True,A,E1,minimum,0.06811799108982086,0.05482037365436554,0.04912389814853668,0.11361657083034515,0.02350582182407379,64
0.20794910192489624,0.22608895599842072,B,4,family-00300-sum_mod_10,B2,False,-2.8992342948913574,0,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,0.27038025856018066,-0.24527740478515625,-0.3112478256225586,0.6943092346191406,0.5899558067321777,64
0.23290270566940308,0.1379319131374359,B,4,family-00300-sum_mod_10,B2,False,-2.8992342948913574,1,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,-0.08241820335388184,-0.14283156394958496,-0.02304387092590332,0.13197612762451172,0.04593205451965332,64
0.14134281873703003,0.4690847396850586,B,4,family-00300-sum_mod_10,B2,False,-2.8992342948913574,2,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,0.2841057777404785,-0.2270493507385254,-0.2361922264099121,0.9077301025390625,0.6320164203643799,64
0.18713849782943726,0.31394684314727783,B,4,family-00300-sum_mod_10,B2,False,-2.8992342948913574,3,tiny_custom_transformer,baseline,False,False,1,cycleA-e1-baseline-seed-11,11,False,False,False,A,E1,sum_mod_10,-0.720369815826416,-0.14017844200134277,-0.32259130477905273,-0.6260337829589844,-0.6924986839294434,64
