correct_partition,layer,mean,median,metric,model_variant,n,run_id,seed,std,task_family,token_bin
False,0,0.1062746372606073,0.1444692760705948,attention_ff_cosine,baseline,56,cycleA-e1-baseline-seed-11,11,0.12351324775110181,maximum,1
False,0,0.2502756970269339,0.23821872472763062,attention_ff_cancellation,baseline,56,cycleA-e1-baseline-seed-11,11,0.04170454361675569,maximum,1
False,0,3.3862313543047224,3.3775426149368286,combined_update_norm,baseline,56,cycleA-e1-baseline-seed-11,11,0.5526712734754,maximum,1
False,0,0.749724302973066,0.7617812752723694,combined_vs_sum_norm,baseline,56,cycleA-e1-baseline-seed-11,11,0.04170454361675569,maximum,1
True,0,2.5081031914010192,2.4485249519348145,attention_update_norm,baseline,264,cycleA-e1-baseline-seed-11,11,0.5723831680135583,maximum,1
True,0,0.2207432629709894,0.2076393887400627,attention_relative_update_norm,baseline,264,cycleA-e1-baseline-seed-11,11,0.054930915334163916,maximum,1
True,0,-0.008232822655841257,0.03414686769247055,attention_state_update_cosine,baseline,264,cycleA-e1-baseline-seed-11,11,0.13171143146736922,maximum,1
True,0,0.9826500339038444,0.9944730401039124,attention_novelty,baseline,264,cycleA-e1-baseline-seed-11,11,0.02138200349462782,maximum,1
True,0,0.17925703714629918,0.1719382330775261,attention_dominance,baseline,264,cycleA-e1-baseline-seed-11,11,0.03509460068170231,maximum,1
True,0,2.1776680675419895,2.0371758937835693,ff_update_norm,baseline,264,cycleA-e1-baseline-seed-11,11,0.4942487268908963,maximum,1
True,0,0.1868085851892829,0.16521866619586945,ff_relative_update_norm,baseline,264,cycleA-e1-baseline-seed-11,11,0.043571272440321586,maximum,1
True,0,-0.09581373973439138,-0.123104989528656,ff_state_update_cosine,baseline,264,cycleA-e1-baseline-seed-11,11,0.12236321532388159,maximum,1
True,0,0.9759036794756398,0.9848451614379883,ff_novelty,baseline,264,cycleA-e1-baseline-seed-11,11,0.03904362486465641,maximum,1
True,0,0.1563326460732655,0.14179198443889618,ff_dominance,baseline,264,cycleA-e1-baseline-seed-11,11,0.02933640716823541,maximum,1
True,0,0.0696257397278466,0.06301446631550789,attention_ff_cosine,baseline,264,cycleA-e1-baseline-seed-11,11,0.12652665800649746,maximum,1
True,0,0.2633109085939147,0.2589678168296814,attention_ff_cancellation,baseline,264,cycleA-e1-baseline-seed-11,11,0.04557461412632902,maximum,1
True,0,3.4641779498620466,3.4017945528030396,combined_update_norm,baseline,264,cycleA-e1-baseline-seed-11,11,0.7083344030757347,maximum,1
True,0,0.7366890914060853,0.7410321831703186,combined_vs_sum_norm,baseline,264,cycleA-e1-baseline-seed-11,11,0.04557461412632902,maximum,1
False,0,2.452651023864746,2.1222208738327026,attention_update_norm,baseline,56,cycleA-e1-baseline-seed-11,11,1.0711721795490117,maximum,2
False,0,0.21681038117302315,0.1855536848306656,attention_relative_update_norm,baseline,56,cycleA-e1-baseline-seed-11,11,0.08854819188011691,maximum,2
False,0,0.004206748147095952,0.01965588517487049,attention_state_update_cosine,baseline,56,cycleA-e1-baseline-seed-11,11,0.13606277072622094,maximum,2
False,0,0.9817998164466449,0.9908133149147034,attention_novelty,baseline,56,cycleA-e1-baseline-seed-11,11,0.024515229974266074,maximum,2
