ci95_high,ci95_low,layer,median,metric,replicated,seed_n,standardized_mean,std,task_family
0.10263393819332123,-0.4302217364311218,0,-0.021783234483774706,residual_norm_mean,False,5,-0.12392324209213257,0.3389305776475874,maximum
0.2717747688293457,0.013300059363245964,0,0.04294808445814093,residual_norm_variance,False,5,0.11634975671768188,0.17721282463288426,maximum
0.46141377091407776,0.04562675207853317,0,0.29037696152742687,residual_norm_first_difference_abs_mean,False,5,0.2700980603694916,0.26084042614580416,maximum
0.49024173617362976,0.10353484004735947,0,0.444363297695288,residual_norm_second_difference_abs_mean,False,5,0.32733863592147827,0.25925600770947804,maximum
-0.009637037292122841,-0.49907344579696655,0,-0.1766364155738527,residual_norm_acf_lag1,False,5,-0.23396751284599304,0.2999636643947712,maximum
0.08571270853281021,-0.25584086775779724,0,0.0,residual_norm_correlation_length,False,5,-0.06403341144323349,0.21812161033511807,maximum
0.29841357469558716,-0.21858644485473633,0,0.27189351894827857,residual_norm_window_mean_shift,False,5,0.10180477797985077,0.358638179476946,maximum
0.2908133864402771,-0.15371963381767273,0,0.13303928465021317,residual_norm_wasserstein,False,5,0.07962513715028763,0.27862331220050524,maximum
0.3620309829711914,-0.03791716694831848,0,0.105660063890343,residual_norm_w4_rolling_variance,False,5,0.1563597470521927,0.2611048262807397,maximum
0.41516613960266113,-0.09439017623662949,0,0.10657129342091552,residual_norm_w4_rolling_abs_skewness,False,5,0.15657798945903778,0.33347223545871224,maximum
0.2701438367366791,-0.5123553276062012,0,-0.1189454548041393,residual_norm_w4_rolling_abs_kurtosis,False,5,-0.11922013759613037,0.4909621377048155,maximum
0.3001917004585266,-0.07369305938482285,0,-0.04365734207798302,residual_norm_w8_rolling_variance,False,5,0.1042100340127945,0.24076498189779325,maximum
0.3241894841194153,-0.2103632241487503,0,0.1444850856407469,residual_norm_w8_rolling_abs_skewness,False,5,0.08141244202852249,0.33007123056835924,maximum
0.3830607235431671,-0.40752118825912476,0,-0.20388690437833154,residual_norm_w8_rolling_abs_kurtosis,False,5,-0.03346914052963257,0.5207562688953107,maximum
0.31926286220550537,-0.14692345261573792,0,-0.015740971874015776,residual_norm_w16_rolling_variance,False,5,0.08601444959640503,0.3051376332326949,maximum
0.25327906012535095,-0.2582971155643463,0,-0.029282663079819252,residual_norm_w16_rolling_abs_skewness,False,5,-0.017060894519090652,0.34061143469353966,maximum
0.38298067450523376,-0.34623226523399353,0,0.1826161958990571,residual_norm_w16_rolling_abs_kurtosis,False,5,0.02388601377606392,0.4677407743496829,maximum
0.24247071146965027,-0.4125661253929138,0,0.13997055824712556,block_update_norm_mean,False,5,-0.08504770696163177,0.43124201243635185,maximum
0.29308760166168213,-0.5140687227249146,0,0.14195165875524327,block_update_norm_variance,False,5,-0.02712550200521946,0.5398100943775497,maximum
0.27435144782066345,-0.6898252367973328,0,0.1531887364586571,block_update_norm_first_difference_abs_mean,False,5,-0.09672973304986954,0.6359501116841794,maximum
0.23283712565898895,-0.7018366456031799,0,0.08511092169916473,block_update_norm_second_difference_abs_mean,False,5,-0.1258067786693573,0.6320759379168094,maximum
0.5062167644500732,-0.4757813513278961,0,-0.03362326967089416,block_update_norm_acf_lag1,False,5,-0.0017512559425085783,0.5917658865061017,maximum
0.3641076683998108,-0.257876992225647,0,0.10716507159342475,block_update_norm_correlation_length,False,5,0.06996568292379379,0.4055259475599079,maximum
0.2664039731025696,-0.03802744299173355,0,0.09106615949302695,block_update_norm_window_mean_shift,False,5,0.0991910770535469,0.19940288561109612,maximum
0.22156886756420135,-0.07596393674612045,0,0.10581746675168441,block_update_norm_wasserstein,False,5,0.06959603726863861,0.19276237559393683,maximum
0.1835140883922577,-0.6443933844566345,0,0.06674939659566592,block_update_norm_w4_rolling_variance,False,5,-0.13838320970535278,0.564064395133021,maximum
0.20618507266044617,-0.22943755984306335,0,0.013639878469768947,block_update_norm_w4_rolling_abs_skewness,False,5,-0.01734553650021553,0.2866424633539566,maximum
0.2988871932029724,-0.4999096393585205,0,0.061886394269426735,block_update_norm_w4_rolling_abs_kurtosis,False,5,-0.054873812943696976,0.5074012224300005,maximum
0.2078901082277298,-0.6510248184204102,0,-0.04807433142594778,block_update_norm_w8_rolling_variance,False,5,-0.15325304865837097,0.5607137739443142,maximum
0.08752001821994781,-0.14433208107948303,0,-0.07990419604769466,block_update_norm_w8_rolling_abs_skewness,False,5,-0.03398409113287926,0.1495933318802682,maximum
0.34501543641090393,-0.08950449526309967,0,0.08474806960149205,block_update_norm_w8_rolling_abs_kurtosis,False,5,0.10151495784521103,0.2860428413715668,maximum
0.18216006457805634,-0.6310829520225525,0,-0.061430343916018273,block_update_norm_w16_rolling_variance,False,5,-0.1646484136581421,0.513879379084053,maximum
0.28384512662887573,-0.13008029758930206,0,0.21802874692616164,block_update_norm_w16_rolling_abs_skewness,False,5,0.1044519916176796,0.27611299509097975,maximum
0.4581565856933594,-0.04680731147527695,0,0.14110513460929447,block_update_norm_w16_rolling_abs_kurtosis,False,5,0.1792561113834381,0.3182957072056293,maximum
