family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,8,55,maximum__last,0.005702995613683015,-0.009786441538017243,0.009196064989858617
60,9,11,maximum__last,-0.012747342830213408,-0.0044148483119594555,-0.0015296581007229785
60,9,22,maximum__last,0.005721879797056318,0.003929758661737045,-0.0035796117542001107
60,9,33,maximum__last,0.006989417745110889,-0.0013237975149725874,0.009881484671495855
60,9,44,maximum__last,-0.004207622232691695,-0.00864799558185041,-0.001544537542698284
60,9,55,maximum__last,0.002127814607229084,-0.012852680683135987,0.019172429537866263
60,10,11,maximum__last,0.01735794689351072,0.004995352250989527,0.013377767098912348
60,10,22,maximum__last,0.05007059805017586,0.01291351798766603,0.026417338203949235
60,10,33,maximum__last,0.005491749391270181,0.00034239457066481314,0.0028786591448200245
60,10,44,maximum__last,-0.0182427679731821,-0.009186760169298699,-0.009272847394458949
60,10,55,maximum__last,0.008976373712842663,0.0014713634892056385,0.004572355118580162
60,11,11,maximum__last,-0.006579044996760786,-0.003004066397746404,-0.0019125433211835722
60,11,22,maximum__last,-0.006209280753197769,-0.004017256301206847,-0.0028252985212020576
60,11,33,maximum__last,0.005960939599511524,0.00276876053151985,0.0022760347036334377
60,11,44,maximum__last,0.014994227156663934,0.0022505072333539526,0.011085605438953887
60,11,55,maximum__last,0.0021415069660482306,0.004448120843153447,-0.00492363009446611
60,12,11,maximum__last,-0.0047207956435158845,-0.00843667312292382,0.0037237339148608346
60,12,22,maximum__last,-0.006353907814870278,-0.0019432058286232253,-0.0037213359765398005
60,12,33,maximum__last,0.0007971937690551082,-0.00027695730095729233,0.0010839305507640044
60,12,44,maximum__last,-0.0011284099697756271,0.0007997105829417705,-0.0017399325384758412
60,12,55,maximum__last,-0.004204442612050722,0.0037461208063177764,-0.006669306161347777
60,13,11,maximum__last,-0.004427653034993758,0.0003809048173328241,-0.005419185156157861
60,13,22,maximum__last,0.008073708787560464,0.006549153930973261,0.0018983027005257706
60,13,33,maximum__last,0.001716016543408235,0.0009469830547459424,0.0007239091481703023
60,13,44,maximum__last,0.009633941707822185,0.0038818713976070283,0.005248315283097327
60,13,55,maximum__last,-0.011386924240893374,-0.014009539794642478,0.0030371691255519787
60,14,11,maximum__last,-0.008930075902026147,-0.006097464465225736,-0.0033256891765631735
60,14,22,maximum__last,0.005413032711173097,0.00573064989876002,-0.00011264685308560729
60,14,33,maximum__last,0.001232977587884913,-0.0005095310237569114,0.002243364012489716
60,14,44,maximum__last,-0.004681375153207531,-0.007553159969393164,0.0029858625843189658
60,14,55,maximum__last,-0.001625082114090522,-0.008128184406086803,0.0075722608986931545
60,15,11,maximum__last,0.00479295845143497,-0.0041926608808959525,0.01032111516688019
60,15,22,maximum__last,0.006795374335100254,0.005524731264449656,0.0013343633074934284
60,15,33,maximum__last,0.0001650968372511367,0.0011360735981725157,-0.0009073134860955179
60,15,44,maximum__last,0.017211936588864774,0.0009187662779974441,0.016304431234796843
60,15,55,maximum__last,-0.006675122441568722,0.0028797791455872357,-0.010654300839329759
60,0,11,maximum__middle,0.2534921507506321,-0.026170557993464173,0.3201649776698711
60,0,22,maximum__middle,-0.036645293961434316,0.006608840512732665,-0.003857171395793557
60,0,33,maximum__middle,0.08408171212455878,0.03407265516386057,0.028326415678020567
60,0,44,maximum__middle,-1.6135469951162424,-0.03928232689310486,-1.180205441165405
60,0,55,maximum__middle,0.30525692759935436,0.025062791952708115,0.0986411920050159
60,1,11,maximum__middle,-0.7361637339849646,-0.009839200899781039,-0.293191886988158
60,1,22,maximum__middle,0.33340650517105436,0.07400855035133039,0.19961078602354973
60,1,33,maximum__middle,2.081550266686827,0.023699403713302068,2.497735528620736
60,1,44,maximum__middle,0.005831999754688392,0.006842599382313589,0.06067338843519489
60,1,55,maximum__middle,1.870785325470691,0.020335128740407528,2.329795977729373
60,2,11,maximum__middle,-0.23766933800652623,0.010166641670123985,-0.1368691767488296
