layer,replicated_block,replicated_ff,replicated_sa,seed_n,task_pair,utility_block_difference_ci95_high,utility_block_difference_ci95_low,utility_block_difference_mean,utility_ff_difference_ci95_high,utility_ff_difference_ci95_low,utility_ff_difference_mean,utility_sa_difference_ci95_high,utility_sa_difference_ci95_low,utility_sa_difference_mean
0,False,False,False,5,first__last,0.05048597976565361,-1.291271448135376,-0.4130038321018219,0.017526032403111458,-0.0010603494010865688,0.005647135898470879,-0.0018365469295531511,-1.4368762969970703,-0.4849572777748108
1,False,False,False,5,first__last,0.30123087763786316,-0.03973936289548874,0.10461656749248505,0.03941783308982849,-0.0069834948517382145,0.01192924939095974,0.21957464516162872,-0.00589214451611042,0.09859500825405121
2,False,False,False,5,first__last,0.003151965094730258,-0.08418329805135727,-0.040434837341308594,0.002231982769444585,-0.005273728631436825,-0.0015024242457002401,0.006550920661538839,-0.11014722287654877,-0.0425940677523613
3,False,False,False,5,first__last,0.41434723138809204,-0.26961222290992737,0.07633531838655472,0.0010772570967674255,-0.006334406789392233,-0.0019705956801772118,0.6471657156944275,-0.26456913352012634,0.1798829734325409
4,False,False,False,5,first__last,0.06997861713171005,-0.08343349397182465,-0.00432734377682209,0.0012241760268807411,-0.00018116223509423435,0.0004145366547163576,0.063672736287117,-0.10136789828538895,-0.012749111279845238
5,False,False,False,5,first__last,1.3833158016204834,-0.003794108284637332,0.4595623016357422,0.0010160563979297876,-0.0010613772319629788,7.663608812435996e-06,1.371830701828003,-0.0030248232651501894,0.4559869170188904
6,False,False,False,5,first__last,0.016440827399492264,0.0010142222745344043,0.007580670528113842,0.0006919567822478712,-0.0003331923217047006,5.118865010445006e-05,0.016734188422560692,-0.0015321302926167846,0.006101506296545267
7,False,False,False,5,first__last,0.00048709186376072466,-0.003655607346445322,-0.0012580135371536016,8.299373439513147e-05,-0.00041756482096388936,-0.00016498472541570663,0.001019122777506709,-0.003114432794973254,-0.0008590911747887731
8,False,False,False,5,first__last,0.0011159321293234825,-0.00035275216214358807,0.00033460994018241763,-0.00021690803987439722,-0.0008102456340566278,-0.0005297671887092292,0.001529948553070426,-7.519777682318818e-06,0.0006842316361144185
9,False,False,False,5,first__last,0.0004766903293784708,-0.00502364058047533,-0.0015212359139695764,0.00021844687580596656,-0.00014573035878129303,2.4567654691054486e-05,0.0004226746968924999,-0.004428170621395111,-0.0013659866526722908
