causal_utility,e1_classification,example_id,gate,gate_entropy,layer,relative_update_norm,seed,task
0.15861940383911133,useful,family-00300-maximum,0.9405217170715332,0.22552957995816647,0,0.7410588130697516,44,maximum
-0.02600681781768799,useful,family-00300-maximum,0.9378290772438049,0.23289957540214765,1,0.3986689645913352,44,maximum
0.35071107745170593,useful,family-00300-maximum,0.931582510471344,0.24952611380853296,2,0.5576597585598865,44,maximum
0.3637550473213196,useful,family-00300-maximum,0.976256251335144,0.11227158022628023,3,0.6781162981851504,44,maximum
0.017181575298309326,useful,family-00300-minimum,0.9172745943069458,0.2853758118309018,0,0.5827601835459133,44,minimum
0.10574936866760254,useful,family-00300-minimum,0.9012214541435242,0.3223908455302195,1,0.8812109762609289,44,minimum
0.017430424690246582,useful,family-00300-minimum,0.9098144769668579,0.3029668456701524,2,0.352491247051689,44,minimum
0.34882718324661255,useful,family-00300-minimum,0.953676700592041,0.18754369493911677,3,0.9220369119502579,44,minimum
0.1904219090938568,redundant_or_uncertain,family-00300-sum_mod_10,0.9258734583854675,0.2641845505315945,0,0.4268070001060319,44,sum_mod_10
0.12309801578521729,redundant_or_uncertain,family-00300-sum_mod_10,0.9073845744132996,0.30854756135235845,1,0.4882234175557278,44,sum_mod_10
0.021638944745063782,useful,family-00300-sum_mod_10,0.9213893413543701,0.27536293486365704,2,0.5182832122380655,44,sum_mod_10
0.06198422610759735,candidate_harmful,family-00300-sum_mod_10,0.9788747429847717,0.10238668753003898,3,0.5044127720015141,44,sum_mod_10
0.5427588224411011,useful,family-00301-maximum,0.9405217170715332,0.22552957995816647,0,0.7663584005272124,44,maximum
-0.1043364405632019,useful,family-00301-maximum,0.9432628154754639,0.217893744573936,1,0.6421154488074728,44,maximum
-0.10259795188903809,useful,family-00301-maximum,0.9430696368217468,0.21843640509873605,2,0.6096654520996488,44,maximum
0.7080279588699341,useful,family-00301-maximum,0.9779316782951355,0.10598302381904143,3,0.8592272803792357,44,maximum
0.25941580533981323,useful,family-00301-minimum,0.9376449584960938,0.2333989243817851,0,0.4607218152319425,44,minimum
0.30276328325271606,useful,family-00301-minimum,0.9499945044517517,0.19853142433445198,1,0.6252876526464475,44,minimum
0.0022929608821868896,useful,family-00301-minimum,0.9575656056404114,0.1756050750662616,2,0.6272940051927679,44,minimum
0.08166998624801636,useful,family-00301-minimum,0.9894049763679504,0.058718198780339154,3,0.8053156000143076,44,minimum
0.07344402372837067,redundant_or_uncertain,family-00301-sum_mod_10,0.9396571516990662,0.2279098414952443,0,0.6316149300763475,44,sum_mod_10
0.04581759124994278,redundant_or_uncertain,family-00301-sum_mod_10,0.9474226236343384,0.2060353555514974,1,0.5425090725155113,44,sum_mod_10
0.012324124574661255,useful,family-00301-sum_mod_10,0.9556354284286499,0.18157515294968748,2,0.34438081160543244,44,sum_mod_10
-0.060546934604644775,candidate_harmful,family-00301-sum_mod_10,0.981055498123169,0.0939023808360834,3,1.0278991358820557,44,sum_mod_10
0.2471296787261963,useful,family-00302-maximum,0.9461200833320618,0.20978469928174778,0,0.9452646118117941,44,maximum
-0.021685361862182617,useful,family-00302-maximum,0.9540802240371704,0.1863213177451731,1,0.5675330867744027,44,maximum
0.2937452793121338,useful,family-00302-maximum,0.9581932425498962,0.17364421510885938,2,0.49926445511746526,44,maximum
0.1915602684020996,useful,family-00302-maximum,0.9849503040313721,0.07809038325013917,3,0.5427125420635756,44,maximum
-0.12127745151519775,useful,family-00302-minimum,0.9236730933189392,0.2697054369511833,0,0.6432638137408145,44,minimum
0.3867647051811218,useful,family-00302-minimum,0.937885582447052,0.2327462109572706,1,0.8245884249975434,44,minimum
0.3422371745109558,useful,family-00302-minimum,0.9264112710952759,0.26282448093519883,2,0.43244873605431794,44,minimum
0.24615438282489777,useful,family-00302-minimum,0.97599858045578,0.11322776266317752,3,0.5911850522590474,44,minimum
-0.015821505337953568,redundant_or_uncertain,family-00302-sum_mod_10,0.9461200833320618,0.20978469928174778,0,0.7508862473588049,44,sum_mod_10
-0.022525891661643982,redundant_or_uncertain,family-00302-sum_mod_10,0.9518181085586548,0.19312673171220793,1,0.7326021385130437,44,sum_mod_10
0.013076921924948692,useful,family-00302-sum_mod_10,0.9548755288124084,0.18390122224326805,2,0.2746717028556776,44,sum_mod_10
-0.04769425466656685,candidate_harmful,family-00302-sum_mod_10,0.9873192310333252,0.06798542354831588,3,0.686086699428336,44,sum_mod_10
-0.16457147896289825,useful,family-00303-maximum,0.9397394061088562,0.22768395457692595,0,0.583803170519326,44,maximum
0.024061933159828186,useful,family-00303-maximum,0.9427839517593384,0.21923765311877058,1,0.3816079156747801,44,maximum
